RecordNumber,EventRecordId,TimeCreated,EventId,Level,Provider,Channel,ProcessId,ThreadId,Computer,ChunkNumber,UserId,MapDescription,UserName,RemoteHost,PayloadData1,PayloadData2,PayloadData3,PayloadData4,PayloadData5,PayloadData6,ExecutableInfo,HiddenRecord,SourceFile,Keywords,ExtraDataOffset,Payload
1,44683,2021-11-08 10:01:49.7307768,13,Info,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,1068,1628,fs03vuln.offsec.lan,0,S-1-5-18,RegistryEvent (Value Set),,,"ProcessID: 472, ProcessGUID: a57649d1-12fd-6179-028b-000000000000",RuleName: -,Image: C:\Windows\system32\services.exe,EventType: SetValue,TargetObject: HKLM\System\CurrentControlSet\Services\hacker23\Start,Details: DWORD (0x00000002),,False,EVTX-to-MITRE-Attack\TA0003-Persistence\T1546-Event Triggered Execution\ID13-WMIimplant registry crash control.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""RuleName"",""#text"":""-""},{""@Name"":""EventType"",""#text"":""SetValue""},{""@Name"":""UtcTime"",""#text"":""2021-11-08 10:01:49.730""},{""@Name"":""ProcessGuid"",""#text"":""a57649d1-12fd-6179-028b-000000000000""},{""@Name"":""ProcessId"",""#text"":""472""},{""@Name"":""Image"",""#text"":""C:\\Windows\\system32\\services.exe""},{""@Name"":""TargetObject"",""#text"":""HKLM\\System\\CurrentControlSet\\Services\\hacker23\\Start""},{""@Name"":""Details"",""#text"":""DWORD (0x00000002)""}]}}"
2,44684,2021-11-08 10:01:49.7307768,13,Info,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,1068,1628,fs03vuln.offsec.lan,0,S-1-5-18,RegistryEvent (Value Set),,,"ProcessID: 472, ProcessGUID: a57649d1-12fd-6179-028b-000000000000",RuleName: -,Image: C:\Windows\system32\services.exe,EventType: SetValue,TargetObject: HKLM\System\CurrentControlSet\Services\hacker23\ImagePath,Details: c:\,,False,EVTX-to-MITRE-Attack\TA0003-Persistence\T1546-Event Triggered Execution\ID13-WMIimplant registry crash control.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""RuleName"",""#text"":""-""},{""@Name"":""EventType"",""#text"":""SetValue""},{""@Name"":""UtcTime"",""#text"":""2021-11-08 10:01:49.730""},{""@Name"":""ProcessGuid"",""#text"":""a57649d1-12fd-6179-028b-000000000000""},{""@Name"":""ProcessId"",""#text"":""472""},{""@Name"":""Image"",""#text"":""C:\\Windows\\system32\\services.exe""},{""@Name"":""TargetObject"",""#text"":""HKLM\\System\\CurrentControlSet\\Services\\hacker23\\ImagePath""},{""@Name"":""Details"",""#text"":""c:\\""}]}}"
3,44689,2021-11-08 10:26:55.1237824,13,Info,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,1068,1628,fs03vuln.offsec.lan,0,S-1-5-18,RegistryEvent (Value Set),,,"ProcessID: 1508, ProcessGUID: a57649d1-1303-6179-d9c8-010000000000","RuleName: technique_id=T1047,technique_name=Windows Management Instrumentation",Image: C:\Windows\system32\wbem\wmiprvse.exe,EventType: SetValue,TargetObject: HKLM\System\CurrentControlSet\Control\CrashControl\LogEvent,Details: DWORD (0x00000001),,False,EVTX-to-MITRE-Attack\TA0003-Persistence\T1546-Event Triggered Execution\ID13-WMIimplant registry crash control.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""RuleName"",""#text"":""technique_id=T1047,technique_name=Windows Management Instrumentation""},{""@Name"":""EventType"",""#text"":""SetValue""},{""@Name"":""UtcTime"",""#text"":""2021-11-08 10:26:55.123""},{""@Name"":""ProcessGuid"",""#text"":""a57649d1-1303-6179-d9c8-010000000000""},{""@Name"":""ProcessId"",""#text"":""1508""},{""@Name"":""Image"",""#text"":""C:\\Windows\\system32\\wbem\\wmiprvse.exe""},{""@Name"":""TargetObject"",""#text"":""HKLM\\System\\CurrentControlSet\\Control\\CrashControl\\LogEvent""},{""@Name"":""Details"",""#text"":""DWORD (0x00000001)""}]}}"
4,44690,2021-11-08 10:26:55.1237824,13,Info,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,1068,1628,fs03vuln.offsec.lan,0,S-1-5-18,RegistryEvent (Value Set),,,"ProcessID: 1508, ProcessGUID: a57649d1-1303-6179-d9c8-010000000000","RuleName: technique_id=T1047,technique_name=Windows Management Instrumentation",Image: C:\Windows\system32\wbem\wmiprvse.exe,EventType: SetValue,TargetObject: HKLM\System\CurrentControlSet\Control\CrashControl\SendAlert,Details: DWORD (0x00000000),,False,EVTX-to-MITRE-Attack\TA0003-Persistence\T1546-Event Triggered Execution\ID13-WMIimplant registry crash control.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""RuleName"",""#text"":""technique_id=T1047,technique_name=Windows Management Instrumentation""},{""@Name"":""EventType"",""#text"":""SetValue""},{""@Name"":""UtcTime"",""#text"":""2021-11-08 10:26:55.123""},{""@Name"":""ProcessGuid"",""#text"":""a57649d1-1303-6179-d9c8-010000000000""},{""@Name"":""ProcessId"",""#text"":""1508""},{""@Name"":""Image"",""#text"":""C:\\Windows\\system32\\wbem\\wmiprvse.exe""},{""@Name"":""TargetObject"",""#text"":""HKLM\\System\\CurrentControlSet\\Control\\CrashControl\\SendAlert""},{""@Name"":""Details"",""#text"":""DWORD (0x00000000)""}]}}"
5,44691,2021-11-08 10:26:55.1237824,13,Info,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,1068,1628,fs03vuln.offsec.lan,0,S-1-5-18,RegistryEvent (Value Set),,,"ProcessID: 1508, ProcessGUID: a57649d1-1303-6179-d9c8-010000000000","RuleName: technique_id=T1047,technique_name=Windows Management Instrumentation",Image: C:\Windows\system32\wbem\wmiprvse.exe,EventType: SetValue,TargetObject: HKLM\System\CurrentControlSet\Control\CrashControl\CrashDumpEnabled,Details: DWORD (0x00000007),,False,EVTX-to-MITRE-Attack\TA0003-Persistence\T1546-Event Triggered Execution\ID13-WMIimplant registry crash control.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""RuleName"",""#text"":""technique_id=T1047,technique_name=Windows Management Instrumentation""},{""@Name"":""EventType"",""#text"":""SetValue""},{""@Name"":""UtcTime"",""#text"":""2021-11-08 10:26:55.123""},{""@Name"":""ProcessGuid"",""#text"":""a57649d1-1303-6179-d9c8-010000000000""},{""@Name"":""ProcessId"",""#text"":""1508""},{""@Name"":""Image"",""#text"":""C:\\Windows\\system32\\wbem\\wmiprvse.exe""},{""@Name"":""TargetObject"",""#text"":""HKLM\\System\\CurrentControlSet\\Control\\CrashControl\\CrashDumpEnabled""},{""@Name"":""Details"",""#text"":""DWORD (0x00000007)""}]}}"
6,44692,2021-11-08 10:26:55.1237824,13,Info,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,1068,1628,fs03vuln.offsec.lan,0,S-1-5-18,RegistryEvent (Value Set),,,"ProcessID: 1508, ProcessGUID: a57649d1-1303-6179-d9c8-010000000000","RuleName: technique_id=T1047,technique_name=Windows Management Instrumentation",Image: C:\Windows\system32\wbem\wmiprvse.exe,EventType: SetValue,TargetObject: HKLM\System\CurrentControlSet\Control\CrashControl\Overwrite,Details: DWORD (0x00000001),,False,EVTX-to-MITRE-Attack\TA0003-Persistence\T1546-Event Triggered Execution\ID13-WMIimplant registry crash control.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""RuleName"",""#text"":""technique_id=T1047,technique_name=Windows Management Instrumentation""},{""@Name"":""EventType"",""#text"":""SetValue""},{""@Name"":""UtcTime"",""#text"":""2021-11-08 10:26:55.123""},{""@Name"":""ProcessGuid"",""#text"":""a57649d1-1303-6179-d9c8-010000000000""},{""@Name"":""ProcessId"",""#text"":""1508""},{""@Name"":""Image"",""#text"":""C:\\Windows\\system32\\wbem\\wmiprvse.exe""},{""@Name"":""TargetObject"",""#text"":""HKLM\\System\\CurrentControlSet\\Control\\CrashControl\\Overwrite""},{""@Name"":""Details"",""#text"":""DWORD (0x00000001)""}]}}"
7,44693,2021-11-08 10:26:55.1237824,13,Info,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,1068,1628,fs03vuln.offsec.lan,0,S-1-5-18,RegistryEvent (Value Set),,,"ProcessID: 1508, ProcessGUID: a57649d1-1303-6179-d9c8-010000000000","RuleName: technique_id=T1047,technique_name=Windows Management Instrumentation",Image: C:\Windows\system32\wbem\wmiprvse.exe,EventType: SetValue,TargetObject: HKLM\System\CurrentControlSet\Control\CrashControl\KernelDumpOnly,Details: DWORD (0x00000000),,False,EVTX-to-MITRE-Attack\TA0003-Persistence\T1546-Event Triggered Execution\ID13-WMIimplant registry crash control.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""RuleName"",""#text"":""technique_id=T1047,technique_name=Windows Management Instrumentation""},{""@Name"":""EventType"",""#text"":""SetValue""},{""@Name"":""UtcTime"",""#text"":""2021-11-08 10:26:55.123""},{""@Name"":""ProcessGuid"",""#text"":""a57649d1-1303-6179-d9c8-010000000000""},{""@Name"":""ProcessId"",""#text"":""1508""},{""@Name"":""Image"",""#text"":""C:\\Windows\\system32\\wbem\\wmiprvse.exe""},{""@Name"":""TargetObject"",""#text"":""HKLM\\System\\CurrentControlSet\\Control\\CrashControl\\KernelDumpOnly""},{""@Name"":""Details"",""#text"":""DWORD (0x00000000)""}]}}"
8,44694,2021-11-08 10:26:55.1394153,13,Info,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,1068,1628,fs03vuln.offsec.lan,0,S-1-5-18,RegistryEvent (Value Set),,,"ProcessID: 1508, ProcessGUID: a57649d1-1303-6179-d9c8-010000000000","RuleName: technique_id=T1047,technique_name=Windows Management Instrumentation",Image: C:\Windows\system32\wbem\wmiprvse.exe,EventType: SetValue,TargetObject: HKLM\System\CurrentControlSet\Control\CrashControl\AutoReboot,Details: DWORD (0x00000001),,False,EVTX-to-MITRE-Attack\TA0003-Persistence\T1546-Event Triggered Execution\ID13-WMIimplant registry crash control.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""RuleName"",""#text"":""technique_id=T1047,technique_name=Windows Management Instrumentation""},{""@Name"":""EventType"",""#text"":""SetValue""},{""@Name"":""UtcTime"",""#text"":""2021-11-08 10:26:55.123""},{""@Name"":""ProcessGuid"",""#text"":""a57649d1-1303-6179-d9c8-010000000000""},{""@Name"":""ProcessId"",""#text"":""1508""},{""@Name"":""Image"",""#text"":""C:\\Windows\\system32\\wbem\\wmiprvse.exe""},{""@Name"":""TargetObject"",""#text"":""HKLM\\System\\CurrentControlSet\\Control\\CrashControl\\AutoReboot""},{""@Name"":""Details"",""#text"":""DWORD (0x00000001)""}]}}"
9,44695,2021-11-08 10:26:55.1394153,13,Info,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,1068,1628,fs03vuln.offsec.lan,0,S-1-5-18,RegistryEvent (Value Set),,,"ProcessID: 1508, ProcessGUID: a57649d1-1303-6179-d9c8-010000000000","RuleName: technique_id=T1047,technique_name=Windows Management Instrumentation",Image: C:\Windows\system32\wbem\wmiprvse.exe,EventType: SetValue,TargetObject: HKLM\System\CurrentControlSet\Control\CrashControl\DumpFile,"Details: 87,105,110,100,111,119,115,32,73,80,32,67,111,110,102,105,103,117,114,97,116,105,111,110,13,10,13,10,32,32,32,72,111,115,116,32,78,97,109,101,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,58,32,102,115,48,51,118,117,108,110,13,10,32,32,32,80,114,105,109,97,114,121,32,68,110,115,32,83,117,102,102,105,120,32,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,58,32,111,102,102,115,101,99,46,108,97,110,13,10,32,32,32,78,111,100,101,32,84,121,112,101,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,58,32,72,121,98,114,105,100,13,10,32,32,32,73,80,32,82,111,117,116,105,110,103,32,69,110,97,98,108,101,100,46,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,58,32,78,111,13,10,32,32,32,87,73,78,83,32,80,114,111,120,121,32,69,110,97,98,108,101,100,46,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,58,32,78,111,13,10,32,32,32,68,78,83,32,83,117,102,102,105,120,32,83,101,97,114,99,104,32,76,105,115,116,46,32,46,32,46,32,46,32,46,32,46,32,58,32,111,102,102,115,101,99,46,108,97,110,13,10,13,10,69,116,104,101,114,110,101,116,32,97,100,97,112,116,101,114,32,69,116,104,101,114,110,101,116,48,58,13,10,13,10,32,32,32,67,111,110,110,101,99,116,105,111,110,45,115,112,101,99,105,102,105,99,32,68,78,83,32,83,117,102,102,105,120,32,32,46,32,58,32,13,10,32,32,32,68,101,115,99,114,105,112,116,105,111,110,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,58,32,73,110,116,101,108,40,82,41,32,56,50,53,55,52,76,32,71,105,103,97,98,105,116,32,78,101,116,119,111,114,107,32,67,111,110,110,101,99,116,105,111,110,13,10,32,32,32,80,104,121,115,105,99,97,108,32,65,100,100,114,101,115,115,46,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,58,32,48,48,45,53,48,45,53,54,45,57,55,45,50,66,45,55,55,13,10,32,32,32,68,72,67,80,32,69,110,97,98,108,101,100,46,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,58,32,78,111,13,10,32,32,32,65,117,116,111,99,111,110,102,105,103,117,114,97,116,105,111,110,32,69,110,97,98,108,101,100,32,46,32,46,32,46,32,46,32,58,32,89,101,115,13,10,32,32,32,76,105,110,107,45,108,111,99,97,108,32,73,80,118,54,32,65,100,100,114,101,115,115,32,46,32,46,32,46,32,46,32,46,32,58,32,102,101,56,48,58,58,99,48,98,100,58,54,57,54,99,58,51,57,54,48,58,97,49,98,49,37,49,50,40,80,114,101,102,101,114,114,101,100,41,32,13,10,32,32,32,73,80,118,52,32,65,100,100,114,101,115,115,46,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,58,32,49,48,46,50,51,46,52,50,46,51,56,40,80,114,101,102,101,114,114,101,100,41,32,13,10,32,32,32,83,117,98,110,101,116,32,77,97,115,107,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,58,32,50,53,53,46,50,53,53,46,50,53,53,46,48,13,10,32,32,32,68,101,102,97,117,108,116,32,71,97,116,101,119,97,121,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,58,32,49,48,46,50,51,46,52,50,46,49,13,10,32,32,32,68,72,67,80,118,54,32,73,65,73,68,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,58,32,51,48,50,48,49,48,52,53,52,13,10,32,32,32,68,72,67,80,118,54,32,67,108,105,101,110,116,32,68,85,73,68,46,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,58,32,48,48,45,48,49,45,48,48,45,48,49,45,50,54,45,52,54,45,50,56,45,65,68,45,48,48,45,53,48,45,53,54,45,57,55,45,50,66,45,55,55,13,10,32,32,32,68,78,83,32,83,101,114,118,101,114,115,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,58,32,49,48,46,50,51,46,52,50,46,49,48,13,10,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,49,48,46,50,51,46,52,50,46,49,49,13,10,32,32,32,78,101,116,66,73,79,83,32,111,118,101,114,32,84,99,112,105,112,46,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,58,32,69,110,97,98,108,101,100,13,10,13,10,84,117,110,110,101,108,32,97,100,97,112,116,101,114,32,105,115,97,116,97,112,46,123,68,54,56,57,48,67,54,52,45,54,67,56,55,45,52,48,54,65,45,65,69,66,56,45,69,51,51,70,53,52,69,53,66,67,56,50,125,58,13,10,13,10,32,32,32,77,101,100,105,97,32,83,116,97,116,101,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,58,32,77,101,100,105,97,32,100,105,115,99,111,110,110,101,99,116,101,100,13,10,32,32,32,67,111,110,110,101,99,116,105,111,110,45,115,112,101,99,105,102,105,99,32,68,78,83,32,83,117,102,102,105,120,32,32,46,32,58,32,13,10,32,32,32,68,101,115,99,114,105,112,116,105,111,110,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,58,32,77,105,99,114,111,115,111,102,116,32,73,83,65,84,65,80,32,65,100,97,112,116,101,114,13,10,32,32,32,80,104,121,115,105,99,97,108,32,65,100,100,114,101,115,115,46,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,58,32,48,48,45,48,48,45,48,48,45,48,48,45,48,48,45,48,48,45,48,48,45,69,48,13,10,32,32,32,68,72,67,80,32,69,110,97,98,108,101,100,46,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,58,32,78,111,13,10,32,32,32,65,117,116,111,99,111,110,102,105,103,117,114,97,116,105,111,110,32,69,110,97,98,108,101,100,32,46,32,46,32,46,32,46,32,58,32,89,101,115",,False,EVTX-to-MITRE-Attack\TA0003-Persistence\T1546-Event Triggered Execution\ID13-WMIimplant registry crash control.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""RuleName"",""#text"":""technique_id=T1047,technique_name=Windows Management Instrumentation""},{""@Name"":""EventType"",""#text"":""SetValue""},{""@Name"":""UtcTime"",""#text"":""2021-11-08 10:26:55.123""},{""@Name"":""ProcessGuid"",""#text"":""a57649d1-1303-6179-d9c8-010000000000""},{""@Name"":""ProcessId"",""#text"":""1508""},{""@Name"":""Image"",""#text"":""C:\\Windows\\system32\\wbem\\wmiprvse.exe""},{""@Name"":""TargetObject"",""#text"":""HKLM\\System\\CurrentControlSet\\Control\\CrashControl\\DumpFile""},{""@Name"":""Details"",""#text"":""87,105,110,100,111,119,115,32,73,80,32,67,111,110,102,105,103,117,114,97,116,105,111,110,13,10,13,10,32,32,32,72,111,115,116,32,78,97,109,101,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,58,32,102,115,48,51,118,117,108,110,13,10,32,32,32,80,114,105,109,97,114,121,32,68,110,115,32,83,117,102,102,105,120,32,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,58,32,111,102,102,115,101,99,46,108,97,110,13,10,32,32,32,78,111,100,101,32,84,121,112,101,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,58,32,72,121,98,114,105,100,13,10,32,32,32,73,80,32,82,111,117,116,105,110,103,32,69,110,97,98,108,101,100,46,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,58,32,78,111,13,10,32,32,32,87,73,78,83,32,80,114,111,120,121,32,69,110,97,98,108,101,100,46,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,58,32,78,111,13,10,32,32,32,68,78,83,32,83,117,102,102,105,120,32,83,101,97,114,99,104,32,76,105,115,116,46,32,46,32,46,32,46,32,46,32,46,32,58,32,111,102,102,115,101,99,46,108,97,110,13,10,13,10,69,116,104,101,114,110,101,116,32,97,100,97,112,116,101,114,32,69,116,104,101,114,110,101,116,48,58,13,10,13,10,32,32,32,67,111,110,110,101,99,116,105,111,110,45,115,112,101,99,105,102,105,99,32,68,78,83,32,83,117,102,102,105,120,32,32,46,32,58,32,13,10,32,32,32,68,101,115,99,114,105,112,116,105,111,110,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,58,32,73,110,116,101,108,40,82,41,32,56,50,53,55,52,76,32,71,105,103,97,98,105,116,32,78,101,116,119,111,114,107,32,67,111,110,110,101,99,116,105,111,110,13,10,32,32,32,80,104,121,115,105,99,97,108,32,65,100,100,114,101,115,115,46,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,58,32,48,48,45,53,48,45,53,54,45,57,55,45,50,66,45,55,55,13,10,32,32,32,68,72,67,80,32,69,110,97,98,108,101,100,46,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,58,32,78,111,13,10,32,32,32,65,117,116,111,99,111,110,102,105,103,117,114,97,116,105,111,110,32,69,110,97,98,108,101,100,32,46,32,46,32,46,32,46,32,58,32,89,101,115,13,10,32,32,32,76,105,110,107,45,108,111,99,97,108,32,73,80,118,54,32,65,100,100,114,101,115,115,32,46,32,46,32,46,32,46,32,46,32,58,32,102,101,56,48,58,58,99,48,98,100,58,54,57,54,99,58,51,57,54,48,58,97,49,98,49,37,49,50,40,80,114,101,102,101,114,114,101,100,41,32,13,10,32,32,32,73,80,118,52,32,65,100,100,114,101,115,115,46,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,58,32,49,48,46,50,51,46,52,50,46,51,56,40,80,114,101,102,101,114,114,101,100,41,32,13,10,32,32,32,83,117,98,110,101,116,32,77,97,115,107,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,58,32,50,53,53,46,50,53,53,46,50,53,53,46,48,13,10,32,32,32,68,101,102,97,117,108,116,32,71,97,116,101,119,97,121,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,58,32,49,48,46,50,51,46,52,50,46,49,13,10,32,32,32,68,72,67,80,118,54,32,73,65,73,68,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,58,32,51,48,50,48,49,48,52,53,52,13,10,32,32,32,68,72,67,80,118,54,32,67,108,105,101,110,116,32,68,85,73,68,46,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,58,32,48,48,45,48,49,45,48,48,45,48,49,45,50,54,45,52,54,45,50,56,45,65,68,45,48,48,45,53,48,45,53,54,45,57,55,45,50,66,45,55,55,13,10,32,32,32,68,78,83,32,83,101,114,118,101,114,115,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,58,32,49,48,46,50,51,46,52,50,46,49,48,13,10,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,49,48,46,50,51,46,52,50,46,49,49,13,10,32,32,32,78,101,116,66,73,79,83,32,111,118,101,114,32,84,99,112,105,112,46,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,58,32,69,110,97,98,108,101,100,13,10,13,10,84,117,110,110,101,108,32,97,100,97,112,116,101,114,32,105,115,97,116,97,112,46,123,68,54,56,57,48,67,54,52,45,54,67,56,55,45,52,48,54,65,45,65,69,66,56,45,69,51,51,70,53,52,69,53,66,67,56,50,125,58,13,10,13,10,32,32,32,77,101,100,105,97,32,83,116,97,116,101,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,58,32,77,101,100,105,97,32,100,105,115,99,111,110,110,101,99,116,101,100,13,10,32,32,32,67,111,110,110,101,99,116,105,111,110,45,115,112,101,99,105,102,105,99,32,68,78,83,32,83,117,102,102,105,120,32,32,46,32,58,32,13,10,32,32,32,68,101,115,99,114,105,112,116,105,111,110,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,58,32,77,105,99,114,111,115,111,102,116,32,73,83,65,84,65,80,32,65,100,97,112,116,101,114,13,10,32,32,32,80,104,121,115,105,99,97,108,32,65,100,100,114,101,115,115,46,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,58,32,48,48,45,48,48,45,48,48,45,48,48,45,48,48,45,48,48,45,48,48,45,69,48,13,10,32,32,32,68,72,67,80,32,69,110,97,98,108,101,100,46,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,46,32,58,32,78,111,13,10,32,32,32,65,117,116,111,99,111,110,102,105,103,117,114,97,116,105,111,110,32,69,110,97,98,108,101,100,32,46,32,46,32,46,32,46,32,58,32,89,101,115""}]}}"
10,44696,2021-11-08 10:26:55.1394153,13,Info,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,1068,1628,fs03vuln.offsec.lan,0,S-1-5-18,RegistryEvent (Value Set),,,"ProcessID: 1508, ProcessGUID: a57649d1-1303-6179-d9c8-010000000000","RuleName: technique_id=T1047,technique_name=Windows Management Instrumentation",Image: C:\Windows\system32\wbem\wmiprvse.exe,EventType: SetValue,TargetObject: HKLM\System\CurrentControlSet\Control\CrashControl\MiniDumpDir,Details: %%SystemRoot%%\Minidump,,False,EVTX-to-MITRE-Attack\TA0003-Persistence\T1546-Event Triggered Execution\ID13-WMIimplant registry crash control.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""RuleName"",""#text"":""technique_id=T1047,technique_name=Windows Management Instrumentation""},{""@Name"":""EventType"",""#text"":""SetValue""},{""@Name"":""UtcTime"",""#text"":""2021-11-08 10:26:55.123""},{""@Name"":""ProcessGuid"",""#text"":""a57649d1-1303-6179-d9c8-010000000000""},{""@Name"":""ProcessId"",""#text"":""1508""},{""@Name"":""Image"",""#text"":""C:\\Windows\\system32\\wbem\\wmiprvse.exe""},{""@Name"":""TargetObject"",""#text"":""HKLM\\System\\CurrentControlSet\\Control\\CrashControl\\MiniDumpDir""},{""@Name"":""Details"",""#text"":""%%SystemRoot%%\\Minidump""}]}}"
11,44697,2021-11-08 10:26:59.7909596,13,Info,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,1068,1628,fs03vuln.offsec.lan,0,S-1-5-18,RegistryEvent (Value Set),,,"ProcessID: 1508, ProcessGUID: a57649d1-1303-6179-d9c8-010000000000","RuleName: technique_id=T1047,technique_name=Windows Management Instrumentation",Image: C:\Windows\system32\wbem\wmiprvse.exe,EventType: SetValue,TargetObject: HKLM\System\CurrentControlSet\Control\CrashControl\LogEvent,Details: DWORD (0x00000001),,False,EVTX-to-MITRE-Attack\TA0003-Persistence\T1546-Event Triggered Execution\ID13-WMIimplant registry crash control.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""RuleName"",""#text"":""technique_id=T1047,technique_name=Windows Management Instrumentation""},{""@Name"":""EventType"",""#text"":""SetValue""},{""@Name"":""UtcTime"",""#text"":""2021-11-08 10:26:59.790""},{""@Name"":""ProcessGuid"",""#text"":""a57649d1-1303-6179-d9c8-010000000000""},{""@Name"":""ProcessId"",""#text"":""1508""},{""@Name"":""Image"",""#text"":""C:\\Windows\\system32\\wbem\\wmiprvse.exe""},{""@Name"":""TargetObject"",""#text"":""HKLM\\System\\CurrentControlSet\\Control\\CrashControl\\LogEvent""},{""@Name"":""Details"",""#text"":""DWORD (0x00000001)""}]}}"
