RecordNumber,EventRecordId,TimeCreated,EventId,Level,Provider,Channel,ProcessId,ThreadId,Computer,ChunkNumber,UserId,MapDescription,UserName,RemoteHost,PayloadData1,PayloadData2,PayloadData3,PayloadData4,PayloadData5,PayloadData6,ExecutableInfo,HiddenRecord,SourceFile,Keywords,ExtraDataOffset,Payload
1,125522981,2021-03-26 16:59:24.8636870,4661,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,268,rootdc1.offsec.lan,0,,Handle requested to an object,OFFSEC\admmig,,ObjectServer: Security Account Manager,ObjectType: SAM_SERVER,"ObjectName: CN=Server,CN=System,DC=offsec,DC=lan",,,,C:\Windows\System32\lsass.exe,False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1003-Credential dumping\ID4661-4658 Mimikatz sekurlsa password dump SAM.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x493AC""},{""@Name"":""ObjectServer"",""#text"":""Security Account Manager""},{""@Name"":""ObjectType"",""#text"":""SAM_SERVER""},{""@Name"":""ObjectName"",""#text"":""CN=Server,CN=System,DC=offsec,DC=lan""},{""@Name"":""HandleId"",""#text"":""0x1D35E251D80""},{""@Name"":""TransactionId"",""#text"":""00000000-0000-0000-0000-000000000000""},{""@Name"":""AccessList"",""#text"":""%%1537, %%1538, %%1539, %%1540, %%5376, %%5377, %%5378, %%5379, %%5380, %%5381, %%5382, %%5383, %%5384, ""},{""@Name"":""AccessReason"",""#text"":""-""},{""@Name"":""AccessMask"",""#text"":""0xF01FF""},{""@Name"":""PrivilegeList"",""#text"":""-""},{""@Name"":""Properties"",""#text"":""---, {bf967aad-0de6-11d0-a285-00aa003049e2}, ""},{""@Name"":""RestrictedSidCount"",""#text"":""0""},{""@Name"":""ProcessId"",""#text"":""0x230""},{""@Name"":""ProcessName"",""#text"":""C:\\Windows\\System32\\lsass.exe""}]}}"
2,125522982,2021-03-26 16:59:24.8638327,4661,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,268,rootdc1.offsec.lan,0,,Handle requested to an object,OFFSEC\admmig,,ObjectServer: Security Account Manager,ObjectType: SAM_DOMAIN,"ObjectName: DC=offsec,DC=lan",,,,C:\Windows\System32\lsass.exe,False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1003-Credential dumping\ID4661-4658 Mimikatz sekurlsa password dump SAM.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x493AC""},{""@Name"":""ObjectServer"",""#text"":""Security Account Manager""},{""@Name"":""ObjectType"",""#text"":""SAM_DOMAIN""},{""@Name"":""ObjectName"",""#text"":""DC=offsec,DC=lan""},{""@Name"":""HandleId"",""#text"":""0x1D35E250A40""},{""@Name"":""TransactionId"",""#text"":""00000000-0000-0000-0000-000000000000""},{""@Name"":""AccessList"",""#text"":""%%1537, %%1538, %%1539, %%1540, %%5392, %%5394, %%5395, %%5396, %%5397, %%5398, %%5399, %%5400, ""},{""@Name"":""AccessReason"",""#text"":""-""},{""@Name"":""AccessMask"",""#text"":""0xF01FD""},{""@Name"":""PrivilegeList"",""#text"":""-""},{""@Name"":""Properties"",""#text"":""---, {19195a5a-6da0-11d0-afd3-00c04fd930c9}, %%1537, %%1538, %%1539, %%1540, %%5392, %%5394, %%5395, %%5396, %%5397, %%5398, %%5399, %%5400, {c7407360-20bf-11d0-a768-00aa006e0529}, {bf9679a4-0de6-11d0-a285-00aa003049e2}, {bf9679a5-0de6-11d0-a285-00aa003049e2}, {bf9679a6-0de6-11d0-a285-00aa003049e2}, {bf9679bb-0de6-11d0-a285-00aa003049e2}, {bf9679c2-0de6-11d0-a285-00aa003049e2}, {bf9679c3-0de6-11d0-a285-00aa003049e2}, {bf967a09-0de6-11d0-a285-00aa003049e2}, {bf967a0b-0de6-11d0-a285-00aa003049e2}, {b8119fd0-04f6-4762-ab7a-4986c76b3f9a}, {bf967a34-0de6-11d0-a285-00aa003049e2}, {bf967a33-0de6-11d0-a285-00aa003049e2}, {bf9679c5-0de6-11d0-a285-00aa003049e2}, {bf967a61-0de6-11d0-a285-00aa003049e2}, {bf967977-0de6-11d0-a285-00aa003049e2}, {bf96795e-0de6-11d0-a285-00aa003049e2}, {bf9679ea-0de6-11d0-a285-00aa003049e2}, {ab721a52-1e2f-11d0-9819-00aa0040529b}, ""},{""@Name"":""RestrictedSidCount"",""#text"":""0""},{""@Name"":""ProcessId"",""#text"":""0x230""},{""@Name"":""ProcessName"",""#text"":""C:\\Windows\\System32\\lsass.exe""}]}}"
3,125522983,2021-03-26 16:59:24.8757896,4661,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,268,rootdc1.offsec.lan,0,,Handle requested to an object,OFFSEC\admmig,,ObjectServer: Security Account Manager,ObjectType: SAM_SERVER,ObjectName: SAM,,,,C:\Windows\System32\lsass.exe,False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1003-Credential dumping\ID4661-4658 Mimikatz sekurlsa password dump SAM.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x493AC""},{""@Name"":""ObjectServer"",""#text"":""Security Account Manager""},{""@Name"":""ObjectType"",""#text"":""SAM_SERVER""},{""@Name"":""ObjectName"",""#text"":""SAM""},{""@Name"":""HandleId"",""#text"":""0x0""},{""@Name"":""TransactionId"",""#text"":""00000000-0000-0000-0000-000000000000""},{""@Name"":""AccessList"",""#text"":""%%5384, ""},{""@Name"":""AccessReason"",""#text"":""-""},{""@Name"":""AccessMask"",""#text"":""0x100""},{""@Name"":""PrivilegeList"",""#text"":""-""},{""@Name"":""Properties"",""#text"":""---, {bf967aad-0de6-11d0-a285-00aa003049e2}, %%5384, {91d67418-0135-4acc-8d79-c08e857cfbec}, ""},{""@Name"":""RestrictedSidCount"",""#text"":""0""},{""@Name"":""ProcessId"",""#text"":""0x230""},{""@Name"":""ProcessName"",""#text"":""C:\\Windows\\System32\\lsass.exe""}]}}"
4,125522984,2021-03-26 16:59:24.8803707,4661,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,268,rootdc1.offsec.lan,0,,Handle requested to an object,OFFSEC\admmig,,ObjectServer: Security Account Manager,ObjectType: SAM_USER,ObjectName: S-1-5-21-4230534742-2542757381-3142984815-500,,,,C:\Windows\System32\lsass.exe,False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1003-Credential dumping\ID4661-4658 Mimikatz sekurlsa password dump SAM.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x493AC""},{""@Name"":""ObjectServer"",""#text"":""Security Account Manager""},{""@Name"":""ObjectType"",""#text"":""SAM_USER""},{""@Name"":""ObjectName"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-500""},{""@Name"":""HandleId"",""#text"":""0x1D35E253590""},{""@Name"":""TransactionId"",""#text"":""00000000-0000-0000-0000-000000000000""},{""@Name"":""AccessList"",""#text"":""%%1537, %%1538, %%1539, %%1540, %%5440, %%5441, %%5442, %%5443, %%5444, %%5445, %%5447, %%5448, ""},{""@Name"":""AccessReason"",""#text"":""-""},{""@Name"":""AccessMask"",""#text"":""0xF01BF""},{""@Name"":""PrivilegeList"",""#text"":""-""},{""@Name"":""Properties"",""#text"":""---, {bf967aba-0de6-11d0-a285-00aa003049e2}, %%1537, %%1538, %%1539, %%1540, %%5440, %%5441, %%5442, %%5443, %%5444, %%5445, %%5447, %%5448, {59ba2f42-79a2-11d0-9020-00c04fc2d3cf}, {bf967938-0de6-11d0-a285-00aa003049e2}, {5fd42471-1262-11d0-a060-00aa006c33ed}, {bf9679e8-0de6-11d0-a285-00aa003049e2}, {bf967a00-0de6-11d0-a285-00aa003049e2}, {3e0abfd0-126a-11d0-a060-00aa006c33ed}, {bf967a6a-0de6-11d0-a285-00aa003049e2}, {bf967953-0de6-11d0-a285-00aa003049e2}, {4c164200-20c0-11d0-a768-00aa006e0529}, {bf967915-0de6-11d0-a285-00aa003049e2}, {bf967a0a-0de6-11d0-a285-00aa003049e2}, {bf967a68-0de6-11d0-a285-00aa003049e2}, {bf967a6d-0de6-11d0-a285-00aa003049e2}, {5f202010-79a5-11d0-9020-00c04fc2d4cf}, {bf96792e-0de6-11d0-a285-00aa003049e2}, {bf967985-0de6-11d0-a285-00aa003049e2}, {bf967986-0de6-11d0-a285-00aa003049e2}, {bf967996-0de6-11d0-a285-00aa003049e2}, {bf967997-0de6-11d0-a285-00aa003049e2}, {bf9679aa-0de6-11d0-a285-00aa003049e2}, {bf9679ab-0de6-11d0-a285-00aa003049e2}, {bf9679ac-0de6-11d0-a285-00aa003049e2}, {bf967a05-0de6-11d0-a285-00aa003049e2}, {bf9679a8-0de6-11d0-a285-00aa003049e2}, {e48d0154-bcf8-11d1-8702-00c04fb96050}, {bf967950-0de6-11d0-a285-00aa003049e2}, {bc0ac240-79a9-11d0-9020-00c04fc2d4cf}, {bf967991-0de6-11d0-a285-00aa003049e2}, {ab721a53-1e2f-11d0-9819-00aa0040529b}, {00299570-246d-11d0-a768-00aa006e0529}, {7ed84960-ad10-11d0-8a92-00aa006e0529}, ""},{""@Name"":""RestrictedSidCount"",""#text"":""0""},{""@Name"":""ProcessId"",""#text"":""0x230""},{""@Name"":""ProcessName"",""#text"":""C:\\Windows\\System32\\lsass.exe""}]}}"
5,125522985,2021-03-26 16:59:24.8831288,4658,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,268,rootdc1.offsec.lan,0,,The handle to an object was closed,OFFSEC\admmig,,SID: S-1-5-21-4230534742-2542757381-3142984815-1111,ObjectServer: Security Account Manager,HandleId: 0x1D35E253590,,,,C:\Windows\System32\lsass.exe (PID: 0x230),False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1003-Credential dumping\ID4661-4658 Mimikatz sekurlsa password dump SAM.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x493AC""},{""@Name"":""ObjectServer"",""#text"":""Security Account Manager""},{""@Name"":""HandleId"",""#text"":""0x1D35E253590""},{""@Name"":""ProcessId"",""#text"":""0x230""},{""@Name"":""ProcessName"",""#text"":""C:\\Windows\\System32\\lsass.exe""}]}}"
6,125522986,2021-03-26 16:59:24.8860465,4661,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,268,rootdc1.offsec.lan,0,,Handle requested to an object,OFFSEC\admmig,,ObjectServer: Security Account Manager,ObjectType: SAM_USER,ObjectName: S-1-5-21-4230534742-2542757381-3142984815-501,,,,C:\Windows\System32\lsass.exe,False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1003-Credential dumping\ID4661-4658 Mimikatz sekurlsa password dump SAM.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x493AC""},{""@Name"":""ObjectServer"",""#text"":""Security Account Manager""},{""@Name"":""ObjectType"",""#text"":""SAM_USER""},{""@Name"":""ObjectName"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-501""},{""@Name"":""HandleId"",""#text"":""0x1D35E252250""},{""@Name"":""TransactionId"",""#text"":""00000000-0000-0000-0000-000000000000""},{""@Name"":""AccessList"",""#text"":""%%1537, %%1538, %%1539, %%1540, %%5440, %%5441, %%5442, %%5443, %%5444, %%5445, %%5446, %%5447, %%5448, ""},{""@Name"":""AccessReason"",""#text"":""-""},{""@Name"":""AccessMask"",""#text"":""0xF01FF""},{""@Name"":""PrivilegeList"",""#text"":""-""},{""@Name"":""Properties"",""#text"":""---, {bf967aba-0de6-11d0-a285-00aa003049e2}, %%1537, %%1538, %%1539, %%1540, %%5440, %%5441, %%5442, %%5443, %%5444, %%5445, %%5446, %%5447, %%5448, {59ba2f42-79a2-11d0-9020-00c04fc2d3cf}, {bf967938-0de6-11d0-a285-00aa003049e2}, {5fd42471-1262-11d0-a060-00aa006c33ed}, {bf9679e8-0de6-11d0-a285-00aa003049e2}, {bf967a00-0de6-11d0-a285-00aa003049e2}, {3e0abfd0-126a-11d0-a060-00aa006c33ed}, {bf967a6a-0de6-11d0-a285-00aa003049e2}, {bf967953-0de6-11d0-a285-00aa003049e2}, {4c164200-20c0-11d0-a768-00aa006e0529}, {bf967915-0de6-11d0-a285-00aa003049e2}, {bf967a0a-0de6-11d0-a285-00aa003049e2}, {bf967a68-0de6-11d0-a285-00aa003049e2}, {bf967a6d-0de6-11d0-a285-00aa003049e2}, {5f202010-79a5-11d0-9020-00c04fc2d4cf}, {bf96792e-0de6-11d0-a285-00aa003049e2}, {bf967985-0de6-11d0-a285-00aa003049e2}, {bf967986-0de6-11d0-a285-00aa003049e2}, {bf967996-0de6-11d0-a285-00aa003049e2}, {bf967997-0de6-11d0-a285-00aa003049e2}, {bf9679aa-0de6-11d0-a285-00aa003049e2}, {bf9679ab-0de6-11d0-a285-00aa003049e2}, {bf9679ac-0de6-11d0-a285-00aa003049e2}, {bf967a05-0de6-11d0-a285-00aa003049e2}, {bf9679a8-0de6-11d0-a285-00aa003049e2}, {e48d0154-bcf8-11d1-8702-00c04fb96050}, {bf967950-0de6-11d0-a285-00aa003049e2}, {bc0ac240-79a9-11d0-9020-00c04fc2d4cf}, {bf967991-0de6-11d0-a285-00aa003049e2}, {ab721a53-1e2f-11d0-9819-00aa0040529b}, {00299570-246d-11d0-a768-00aa006e0529}, {7ed84960-ad10-11d0-8a92-00aa006e0529}, ""},{""@Name"":""RestrictedSidCount"",""#text"":""0""},{""@Name"":""ProcessId"",""#text"":""0x230""},{""@Name"":""ProcessName"",""#text"":""C:\\Windows\\System32\\lsass.exe""}]}}"
7,125522987,2021-03-26 16:59:24.8888037,4658,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,268,rootdc1.offsec.lan,0,,The handle to an object was closed,OFFSEC\admmig,,SID: S-1-5-21-4230534742-2542757381-3142984815-1111,ObjectServer: Security Account Manager,HandleId: 0x1D35E252250,,,,C:\Windows\System32\lsass.exe (PID: 0x230),False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1003-Credential dumping\ID4661-4658 Mimikatz sekurlsa password dump SAM.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x493AC""},{""@Name"":""ObjectServer"",""#text"":""Security Account Manager""},{""@Name"":""HandleId"",""#text"":""0x1D35E252250""},{""@Name"":""ProcessId"",""#text"":""0x230""},{""@Name"":""ProcessName"",""#text"":""C:\\Windows\\System32\\lsass.exe""}]}}"
8,125522988,2021-03-26 16:59:24.8889475,4661,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,268,rootdc1.offsec.lan,0,,Handle requested to an object,OFFSEC\admmig,,ObjectServer: Security Account Manager,ObjectType: SAM_SERVER,ObjectName: SAM,,,,C:\Windows\System32\lsass.exe,False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1003-Credential dumping\ID4661-4658 Mimikatz sekurlsa password dump SAM.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x493AC""},{""@Name"":""ObjectServer"",""#text"":""Security Account Manager""},{""@Name"":""ObjectType"",""#text"":""SAM_SERVER""},{""@Name"":""ObjectName"",""#text"":""SAM""},{""@Name"":""HandleId"",""#text"":""0x0""},{""@Name"":""TransactionId"",""#text"":""00000000-0000-0000-0000-000000000000""},{""@Name"":""AccessList"",""#text"":""%%5384, ""},{""@Name"":""AccessReason"",""#text"":""-""},{""@Name"":""AccessMask"",""#text"":""0x100""},{""@Name"":""PrivilegeList"",""#text"":""-""},{""@Name"":""Properties"",""#text"":""---, {bf967aad-0de6-11d0-a285-00aa003049e2}, %%5384, {91d67418-0135-4acc-8d79-c08e857cfbec}, ""},{""@Name"":""RestrictedSidCount"",""#text"":""0""},{""@Name"":""ProcessId"",""#text"":""0x230""},{""@Name"":""ProcessName"",""#text"":""C:\\Windows\\System32\\lsass.exe""}]}}"
9,125522989,2021-03-26 16:59:24.8923150,4661,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,268,rootdc1.offsec.lan,0,,Handle requested to an object,OFFSEC\admmig,,ObjectServer: Security Account Manager,ObjectType: SAM_USER,ObjectName: S-1-5-21-4230534742-2542757381-3142984815-502,,,,C:\Windows\System32\lsass.exe,False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1003-Credential dumping\ID4661-4658 Mimikatz sekurlsa password dump SAM.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x493AC""},{""@Name"":""ObjectServer"",""#text"":""Security Account Manager""},{""@Name"":""ObjectType"",""#text"":""SAM_USER""},{""@Name"":""ObjectName"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-502""},{""@Name"":""HandleId"",""#text"":""0x1D35E2530C0""},{""@Name"":""TransactionId"",""#text"":""00000000-0000-0000-0000-000000000000""},{""@Name"":""AccessList"",""#text"":""%%1537, %%1538, %%1539, %%1540, %%5440, %%5441, %%5442, %%5443, %%5444, %%5445, %%5447, %%5448, ""},{""@Name"":""AccessReason"",""#text"":""-""},{""@Name"":""AccessMask"",""#text"":""0xF01BF""},{""@Name"":""PrivilegeList"",""#text"":""-""},{""@Name"":""Properties"",""#text"":""---, {bf967aba-0de6-11d0-a285-00aa003049e2}, %%1537, %%1538, %%1539, %%1540, %%5440, %%5441, %%5442, %%5443, %%5444, %%5445, %%5447, %%5448, {59ba2f42-79a2-11d0-9020-00c04fc2d3cf}, {bf967938-0de6-11d0-a285-00aa003049e2}, {5fd42471-1262-11d0-a060-00aa006c33ed}, {bf9679e8-0de6-11d0-a285-00aa003049e2}, {bf967a00-0de6-11d0-a285-00aa003049e2}, {3e0abfd0-126a-11d0-a060-00aa006c33ed}, {bf967a6a-0de6-11d0-a285-00aa003049e2}, {bf967953-0de6-11d0-a285-00aa003049e2}, {4c164200-20c0-11d0-a768-00aa006e0529}, {bf967915-0de6-11d0-a285-00aa003049e2}, {bf967a0a-0de6-11d0-a285-00aa003049e2}, {bf967a68-0de6-11d0-a285-00aa003049e2}, {bf967a6d-0de6-11d0-a285-00aa003049e2}, {5f202010-79a5-11d0-9020-00c04fc2d4cf}, {bf96792e-0de6-11d0-a285-00aa003049e2}, {bf967985-0de6-11d0-a285-00aa003049e2}, {bf967986-0de6-11d0-a285-00aa003049e2}, {bf967996-0de6-11d0-a285-00aa003049e2}, {bf967997-0de6-11d0-a285-00aa003049e2}, {bf9679aa-0de6-11d0-a285-00aa003049e2}, {bf9679ab-0de6-11d0-a285-00aa003049e2}, {bf9679ac-0de6-11d0-a285-00aa003049e2}, {bf967a05-0de6-11d0-a285-00aa003049e2}, {bf9679a8-0de6-11d0-a285-00aa003049e2}, {e48d0154-bcf8-11d1-8702-00c04fb96050}, {bf967950-0de6-11d0-a285-00aa003049e2}, {bc0ac240-79a9-11d0-9020-00c04fc2d4cf}, {bf967991-0de6-11d0-a285-00aa003049e2}, {ab721a53-1e2f-11d0-9819-00aa0040529b}, {00299570-246d-11d0-a768-00aa006e0529}, {7ed84960-ad10-11d0-8a92-00aa006e0529}, ""},{""@Name"":""RestrictedSidCount"",""#text"":""0""},{""@Name"":""ProcessId"",""#text"":""0x230""},{""@Name"":""ProcessName"",""#text"":""C:\\Windows\\System32\\lsass.exe""}]}}"
10,125522990,2021-03-26 16:59:24.8958137,4658,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,268,rootdc1.offsec.lan,0,,The handle to an object was closed,OFFSEC\admmig,,SID: S-1-5-21-4230534742-2542757381-3142984815-1111,ObjectServer: Security Account Manager,HandleId: 0x1D35E2530C0,,,,C:\Windows\System32\lsass.exe (PID: 0x230),False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1003-Credential dumping\ID4661-4658 Mimikatz sekurlsa password dump SAM.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x493AC""},{""@Name"":""ObjectServer"",""#text"":""Security Account Manager""},{""@Name"":""HandleId"",""#text"":""0x1D35E2530C0""},{""@Name"":""ProcessId"",""#text"":""0x230""},{""@Name"":""ProcessName"",""#text"":""C:\\Windows\\System32\\lsass.exe""}]}}"
11,125522991,2021-03-26 16:59:24.8990463,4661,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,268,rootdc1.offsec.lan,0,,Handle requested to an object,OFFSEC\admmig,,ObjectServer: Security Account Manager,ObjectType: SAM_USER,ObjectName: S-1-5-21-4230534742-2542757381-3142984815-503,,,,C:\Windows\System32\lsass.exe,False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1003-Credential dumping\ID4661-4658 Mimikatz sekurlsa password dump SAM.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x493AC""},{""@Name"":""ObjectServer"",""#text"":""Security Account Manager""},{""@Name"":""ObjectType"",""#text"":""SAM_USER""},{""@Name"":""ObjectName"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-503""},{""@Name"":""HandleId"",""#text"":""0x1D35E2530C0""},{""@Name"":""TransactionId"",""#text"":""00000000-0000-0000-0000-000000000000""},{""@Name"":""AccessList"",""#text"":""%%1537, %%1538, %%1539, %%1540, %%5440, %%5441, %%5442, %%5443, %%5444, %%5445, %%5446, %%5447, %%5448, ""},{""@Name"":""AccessReason"",""#text"":""-""},{""@Name"":""AccessMask"",""#text"":""0xF01FF""},{""@Name"":""PrivilegeList"",""#text"":""-""},{""@Name"":""Properties"",""#text"":""---, {bf967aba-0de6-11d0-a285-00aa003049e2}, %%1537, %%1538, %%1539, %%1540, %%5440, %%5441, %%5442, %%5443, %%5444, %%5445, %%5446, %%5447, %%5448, {59ba2f42-79a2-11d0-9020-00c04fc2d3cf}, {bf967938-0de6-11d0-a285-00aa003049e2}, {5fd42471-1262-11d0-a060-00aa006c33ed}, {bf9679e8-0de6-11d0-a285-00aa003049e2}, {bf967a00-0de6-11d0-a285-00aa003049e2}, {3e0abfd0-126a-11d0-a060-00aa006c33ed}, {bf967a6a-0de6-11d0-a285-00aa003049e2}, {bf967953-0de6-11d0-a285-00aa003049e2}, {4c164200-20c0-11d0-a768-00aa006e0529}, {bf967915-0de6-11d0-a285-00aa003049e2}, {bf967a0a-0de6-11d0-a285-00aa003049e2}, {bf967a68-0de6-11d0-a285-00aa003049e2}, {bf967a6d-0de6-11d0-a285-00aa003049e2}, {5f202010-79a5-11d0-9020-00c04fc2d4cf}, {bf96792e-0de6-11d0-a285-00aa003049e2}, {bf967985-0de6-11d0-a285-00aa003049e2}, {bf967986-0de6-11d0-a285-00aa003049e2}, {bf967996-0de6-11d0-a285-00aa003049e2}, {bf967997-0de6-11d0-a285-00aa003049e2}, {bf9679aa-0de6-11d0-a285-00aa003049e2}, {bf9679ab-0de6-11d0-a285-00aa003049e2}, {bf9679ac-0de6-11d0-a285-00aa003049e2}, {bf967a05-0de6-11d0-a285-00aa003049e2}, {bf9679a8-0de6-11d0-a285-00aa003049e2}, {e48d0154-bcf8-11d1-8702-00c04fb96050}, {bf967950-0de6-11d0-a285-00aa003049e2}, {bc0ac240-79a9-11d0-9020-00c04fc2d4cf}, {bf967991-0de6-11d0-a285-00aa003049e2}, {ab721a53-1e2f-11d0-9819-00aa0040529b}, {00299570-246d-11d0-a768-00aa006e0529}, {7ed84960-ad10-11d0-8a92-00aa006e0529}, ""},{""@Name"":""RestrictedSidCount"",""#text"":""0""},{""@Name"":""ProcessId"",""#text"":""0x230""},{""@Name"":""ProcessName"",""#text"":""C:\\Windows\\System32\\lsass.exe""}]}}"
12,125522992,2021-03-26 16:59:24.9016166,4658,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,268,rootdc1.offsec.lan,0,,The handle to an object was closed,OFFSEC\admmig,,SID: S-1-5-21-4230534742-2542757381-3142984815-1111,ObjectServer: Security Account Manager,HandleId: 0x1D35E2530C0,,,,C:\Windows\System32\lsass.exe (PID: 0x230),False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1003-Credential dumping\ID4661-4658 Mimikatz sekurlsa password dump SAM.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x493AC""},{""@Name"":""ObjectServer"",""#text"":""Security Account Manager""},{""@Name"":""HandleId"",""#text"":""0x1D35E2530C0""},{""@Name"":""ProcessId"",""#text"":""0x230""},{""@Name"":""ProcessName"",""#text"":""C:\\Windows\\System32\\lsass.exe""}]}}"
