RecordNumber,EventRecordId,TimeCreated,EventId,Level,Provider,Channel,ProcessId,ThreadId,Computer,ChunkNumber,UserId,MapDescription,UserName,RemoteHost,PayloadData1,PayloadData2,PayloadData3,PayloadData4,PayloadData5,PayloadData6,ExecutableInfo,HiddenRecord,SourceFile,Keywords,ExtraDataOffset,Payload
1,1165140,2021-12-12 11:53:07.6522186,5145,LogAlways,Microsoft-Windows-Security-Auditing,Security,480,488,fs03vuln.offsec.lan,0,,Network share object access,OFFSEC\admmig,10.23.123.11:60296,Share: \\*\IPC$ (),Object: srvsvc,AccessList: Unknown code (%%4416 | %%4417 | %%4423),AccessMask: Unknown code (0x83),SID: S-1-5-21-4230534742-2542757381-3142984815-1111,,,False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1555-Credentials from Password Stores\ID5145-user file-credentials-browser dump via network share.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x883836E""},{""@Name"":""ObjectType"",""#text"":""File""},{""@Name"":""IpAddress"",""#text"":""10.23.123.11""},{""@Name"":""IpPort"",""#text"":""60296""},{""@Name"":""ShareName"",""#text"":""\\\\*\\IPC$""},{""@Name"":""ShareLocalPath""},{""@Name"":""RelativeTargetName"",""#text"":""srvsvc""},{""@Name"":""AccessMask"",""#text"":""0x83""},{""@Name"":""AccessList"",""#text"":""%%4416, %%4417, %%4423, ""},{""@Name"":""AccessReason"",""#text"":""-""}]}}"
2,1165142,2021-12-12 11:53:07.6752197,5145,LogAlways,Microsoft-Windows-Security-Auditing,Security,480,488,fs03vuln.offsec.lan,0,,Network share object access,OFFSEC\admmig,10.23.123.11:60296,Share: \\*\IPC$ (),Object: srvsvc,AccessList: Unknown code (%%4416 | %%4417 | %%4423),AccessMask: Unknown code (0x83),SID: S-1-5-21-4230534742-2542757381-3142984815-1111,,,False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1555-Credentials from Password Stores\ID5145-user file-credentials-browser dump via network share.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x883836E""},{""@Name"":""ObjectType"",""#text"":""File""},{""@Name"":""IpAddress"",""#text"":""10.23.123.11""},{""@Name"":""IpPort"",""#text"":""60296""},{""@Name"":""ShareName"",""#text"":""\\\\*\\IPC$""},{""@Name"":""ShareLocalPath""},{""@Name"":""RelativeTargetName"",""#text"":""srvsvc""},{""@Name"":""AccessMask"",""#text"":""0x83""},{""@Name"":""AccessList"",""#text"":""%%4416, %%4417, %%4423, ""},{""@Name"":""AccessReason"",""#text"":""-""}]}}"
3,1165145,2021-12-12 11:53:07.6908753,5145,LogAlways,Microsoft-Windows-Security-Auditing,Security,480,488,fs03vuln.offsec.lan,0,,Network share object access,OFFSEC\admmig,10.23.123.11:60296,Share: \\*\C$ (\??\C:\),Object: \,AccessList: ReadData (or ListDirectory),AccessMask: Unknown code (0x1),SID: S-1-5-21-4230534742-2542757381-3142984815-1111,,,False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1555-Credentials from Password Stores\ID5145-user file-credentials-browser dump via network share.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x883836E""},{""@Name"":""ObjectType"",""#text"":""File""},{""@Name"":""IpAddress"",""#text"":""10.23.123.11""},{""@Name"":""IpPort"",""#text"":""60296""},{""@Name"":""ShareName"",""#text"":""\\\\*\\C$""},{""@Name"":""ShareLocalPath"",""#text"":""\\??\\C:\\""},{""@Name"":""RelativeTargetName"",""#text"":""\\""},{""@Name"":""AccessMask"",""#text"":""0x1""},{""@Name"":""AccessList"",""#text"":""%%4416, ""},{""@Name"":""AccessReason"",""#text"":""-""}]}}"
4,1165147,2021-12-12 11:53:07.7064806,5145,LogAlways,Microsoft-Windows-Security-Auditing,Security,480,488,fs03vuln.offsec.lan,0,,Network share object access,OFFSEC\admmig,10.23.123.11:60296,Share: \\*\C$ (\??\C:\),Object: Users,AccessList: ReadData (or ListDirectory),AccessMask: Unknown code (0x1),SID: S-1-5-21-4230534742-2542757381-3142984815-1111,,,False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1555-Credentials from Password Stores\ID5145-user file-credentials-browser dump via network share.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x883836E""},{""@Name"":""ObjectType"",""#text"":""File""},{""@Name"":""IpAddress"",""#text"":""10.23.123.11""},{""@Name"":""IpPort"",""#text"":""60296""},{""@Name"":""ShareName"",""#text"":""\\\\*\\C$""},{""@Name"":""ShareLocalPath"",""#text"":""\\??\\C:\\""},{""@Name"":""RelativeTargetName"",""#text"":""Users""},{""@Name"":""AccessMask"",""#text"":""0x1""},{""@Name"":""AccessList"",""#text"":""%%4416, ""},{""@Name"":""AccessReason"",""#text"":""-""}]}}"
5,1165149,2021-12-12 11:53:07.7064806,5145,LogAlways,Microsoft-Windows-Security-Auditing,Security,480,488,fs03vuln.offsec.lan,0,,Network share object access,OFFSEC\admmig,10.23.123.11:60296,Share: \\*\IPC$ (),Object: svcctl,AccessList: Unknown code (%%4416 | %%4417 | %%4423),AccessMask: Unknown code (0x83),SID: S-1-5-21-4230534742-2542757381-3142984815-1111,,,False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1555-Credentials from Password Stores\ID5145-user file-credentials-browser dump via network share.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x883836E""},{""@Name"":""ObjectType"",""#text"":""File""},{""@Name"":""IpAddress"",""#text"":""10.23.123.11""},{""@Name"":""IpPort"",""#text"":""60296""},{""@Name"":""ShareName"",""#text"":""\\\\*\\IPC$""},{""@Name"":""ShareLocalPath""},{""@Name"":""RelativeTargetName"",""#text"":""svcctl""},{""@Name"":""AccessMask"",""#text"":""0x83""},{""@Name"":""AccessList"",""#text"":""%%4416, %%4417, %%4423, ""},{""@Name"":""AccessReason"",""#text"":""-""}]}}"
6,1165152,2021-12-12 11:53:08.7593148,5145,LogAlways,Microsoft-Windows-Security-Auditing,Security,480,488,fs03vuln.offsec.lan,0,,Network share object access,OFFSEC\admmig,10.23.123.11:60296,Share: \\*\IPC$ (),Object: winreg,AccessList: Unknown code (%%4416 | %%4417 | %%4423),AccessMask: Unknown code (0x83),SID: S-1-5-21-4230534742-2542757381-3142984815-1111,,,False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1555-Credentials from Password Stores\ID5145-user file-credentials-browser dump via network share.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x883836E""},{""@Name"":""ObjectType"",""#text"":""File""},{""@Name"":""IpAddress"",""#text"":""10.23.123.11""},{""@Name"":""IpPort"",""#text"":""60296""},{""@Name"":""ShareName"",""#text"":""\\\\*\\IPC$""},{""@Name"":""ShareLocalPath""},{""@Name"":""RelativeTargetName"",""#text"":""winreg""},{""@Name"":""AccessMask"",""#text"":""0x83""},{""@Name"":""AccessList"",""#text"":""%%4416, %%4417, %%4423, ""},{""@Name"":""AccessReason"",""#text"":""-""}]}}"
7,1165154,2021-12-12 11:53:08.8572096,5145,LogAlways,Microsoft-Windows-Security-Auditing,Security,480,488,fs03vuln.offsec.lan,0,,Network share object access,OFFSEC\admmig,10.23.123.11:60296,Share: \\*\ADMIN$ (\??\C:\Windows),Object: SYSTEM32\oyCCGQai.tmp,AccessList: Unknown code (%%4416 | %%4423),AccessMask: Unknown code (0x81),SID: S-1-5-21-4230534742-2542757381-3142984815-1111,,,False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1555-Credentials from Password Stores\ID5145-user file-credentials-browser dump via network share.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x883836E""},{""@Name"":""ObjectType"",""#text"":""File""},{""@Name"":""IpAddress"",""#text"":""10.23.123.11""},{""@Name"":""IpPort"",""#text"":""60296""},{""@Name"":""ShareName"",""#text"":""\\\\*\\ADMIN$""},{""@Name"":""ShareLocalPath"",""#text"":""\\??\\C:\\Windows""},{""@Name"":""RelativeTargetName"",""#text"":""SYSTEM32\\oyCCGQai.tmp""},{""@Name"":""AccessMask"",""#text"":""0x81""},{""@Name"":""AccessList"",""#text"":""%%4416, %%4423, ""},{""@Name"":""AccessReason"",""#text"":""-""}]}}"
8,1165174,2021-12-12 11:53:11.3102119,5145,LogAlways,Microsoft-Windows-Security-Auditing,Security,480,488,fs03vuln.offsec.lan,0,,Network share object access,OFFSEC\admmig,10.23.123.11:60296,Share: \\*\ADMIN$ (\??\C:\Windows),Object: SYSTEM32\AqdQWnLE.tmp,AccessList: Unknown code (%%4416 | %%4423),AccessMask: Unknown code (0x81),SID: S-1-5-21-4230534742-2542757381-3142984815-1111,,,False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1555-Credentials from Password Stores\ID5145-user file-credentials-browser dump via network share.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x883836E""},{""@Name"":""ObjectType"",""#text"":""File""},{""@Name"":""IpAddress"",""#text"":""10.23.123.11""},{""@Name"":""IpPort"",""#text"":""60296""},{""@Name"":""ShareName"",""#text"":""\\\\*\\ADMIN$""},{""@Name"":""ShareLocalPath"",""#text"":""\\??\\C:\\Windows""},{""@Name"":""RelativeTargetName"",""#text"":""SYSTEM32\\AqdQWnLE.tmp""},{""@Name"":""AccessMask"",""#text"":""0x81""},{""@Name"":""AccessList"",""#text"":""%%4416, %%4423, ""},{""@Name"":""AccessReason"",""#text"":""-""}]}}"
9,1165176,2021-12-12 11:53:11.6014552,5145,LogAlways,Microsoft-Windows-Security-Auditing,Security,480,488,fs03vuln.offsec.lan,0,,Network share object access,OFFSEC\admmig,10.23.123.11:60296,Share: \\*\C$ (\??\C:\),Object: Users\Administrator\AppData\Roaming\Microsoft\Protect,AccessList: ReadData (or ListDirectory),AccessMask: Unknown code (0x1),SID: S-1-5-21-4230534742-2542757381-3142984815-1111,,,False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1555-Credentials from Password Stores\ID5145-user file-credentials-browser dump via network share.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x883836E""},{""@Name"":""ObjectType"",""#text"":""File""},{""@Name"":""IpAddress"",""#text"":""10.23.123.11""},{""@Name"":""IpPort"",""#text"":""60296""},{""@Name"":""ShareName"",""#text"":""\\\\*\\C$""},{""@Name"":""ShareLocalPath"",""#text"":""\\??\\C:\\""},{""@Name"":""RelativeTargetName"",""#text"":""Users\\Administrator\\AppData\\Roaming\\Microsoft\\Protect""},{""@Name"":""AccessMask"",""#text"":""0x1""},{""@Name"":""AccessList"",""#text"":""%%4416, ""},{""@Name"":""AccessReason"",""#text"":""-""}]}}"
10,1165178,2021-12-12 11:53:11.6170582,5145,LogAlways,Microsoft-Windows-Security-Auditing,Security,480,488,fs03vuln.offsec.lan,0,,Network share object access,OFFSEC\admmig,10.23.123.11:60296,Share: \\*\C$ (\??\C:\),Object: Users\admmig\AppData\Roaming\Microsoft\Protect,AccessList: ReadData (or ListDirectory),AccessMask: Unknown code (0x1),SID: S-1-5-21-4230534742-2542757381-3142984815-1111,,,False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1555-Credentials from Password Stores\ID5145-user file-credentials-browser dump via network share.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x883836E""},{""@Name"":""ObjectType"",""#text"":""File""},{""@Name"":""IpAddress"",""#text"":""10.23.123.11""},{""@Name"":""IpPort"",""#text"":""60296""},{""@Name"":""ShareName"",""#text"":""\\\\*\\C$""},{""@Name"":""ShareLocalPath"",""#text"":""\\??\\C:\\""},{""@Name"":""RelativeTargetName"",""#text"":""Users\\admmig\\AppData\\Roaming\\Microsoft\\Protect""},{""@Name"":""AccessMask"",""#text"":""0x1""},{""@Name"":""AccessList"",""#text"":""%%4416, ""},{""@Name"":""AccessReason"",""#text"":""-""}]}}"
11,1165180,2021-12-12 11:53:11.6170582,5145,LogAlways,Microsoft-Windows-Security-Auditing,Security,480,488,fs03vuln.offsec.lan,0,,Network share object access,OFFSEC\admmig,10.23.123.11:60296,Share: \\*\C$ (\??\C:\),Object: Users\admmig\AppData\Roaming\Microsoft\Protect\S-1-5-21-4230534742-2542757381-3142984815-1111,AccessList: ReadData (or ListDirectory),AccessMask: Unknown code (0x1),SID: S-1-5-21-4230534742-2542757381-3142984815-1111,,,False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1555-Credentials from Password Stores\ID5145-user file-credentials-browser dump via network share.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x883836E""},{""@Name"":""ObjectType"",""#text"":""File""},{""@Name"":""IpAddress"",""#text"":""10.23.123.11""},{""@Name"":""IpPort"",""#text"":""60296""},{""@Name"":""ShareName"",""#text"":""\\\\*\\C$""},{""@Name"":""ShareLocalPath"",""#text"":""\\??\\C:\\""},{""@Name"":""RelativeTargetName"",""#text"":""Users\\admmig\\AppData\\Roaming\\Microsoft\\Protect\\S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""AccessMask"",""#text"":""0x1""},{""@Name"":""AccessList"",""#text"":""%%4416, ""},{""@Name"":""AccessReason"",""#text"":""-""}]}}"
12,1165182,2021-12-12 11:53:11.6170582,5145,LogAlways,Microsoft-Windows-Security-Auditing,Security,480,488,fs03vuln.offsec.lan,0,,Network share object access,OFFSEC\admmig,10.23.123.11:60296,Share: \\*\C$ (\??\C:\),Object: Users\admmig\AppData\Roaming\Microsoft\Protect\S-1-5-21-4230534742-2542757381-3142984815-1111\1d0d5e15-3dd4-4689-a6c8-b3f4a523f317,AccessList: Unknown code (%%1538 | %%4416 | %%4419 | %%4423),AccessMask: Unknown code (0x20089),SID: S-1-5-21-4230534742-2542757381-3142984815-1111,,,False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1555-Credentials from Password Stores\ID5145-user file-credentials-browser dump via network share.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x883836E""},{""@Name"":""ObjectType"",""#text"":""File""},{""@Name"":""IpAddress"",""#text"":""10.23.123.11""},{""@Name"":""IpPort"",""#text"":""60296""},{""@Name"":""ShareName"",""#text"":""\\\\*\\C$""},{""@Name"":""ShareLocalPath"",""#text"":""\\??\\C:\\""},{""@Name"":""RelativeTargetName"",""#text"":""Users\\admmig\\AppData\\Roaming\\Microsoft\\Protect\\S-1-5-21-4230534742-2542757381-3142984815-1111\\1d0d5e15-3dd4-4689-a6c8-b3f4a523f317""},{""@Name"":""AccessMask"",""#text"":""0x20089""},{""@Name"":""AccessList"",""#text"":""%%1538, %%4416, %%4419, %%4423, ""},{""@Name"":""AccessReason"",""#text"":""-""}]}}"
13,1165184,2021-12-12 11:53:11.6326784,5145,LogAlways,Microsoft-Windows-Security-Auditing,Security,480,488,fs03vuln.offsec.lan,0,,Network share object access,OFFSEC\admmig,10.23.123.11:60296,Share: \\*\C$ (\??\C:\),Object: Users\admmig\AppData\Roaming\Microsoft\Protect\S-1-5-21-4230534742-2542757381-3142984815-1111\4940c1c2-798b-4291-9cbf-56ba1bc56acd,AccessList: Unknown code (%%1538 | %%4416 | %%4419 | %%4423),AccessMask: Unknown code (0x20089),SID: S-1-5-21-4230534742-2542757381-3142984815-1111,,,False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1555-Credentials from Password Stores\ID5145-user file-credentials-browser dump via network share.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x883836E""},{""@Name"":""ObjectType"",""#text"":""File""},{""@Name"":""IpAddress"",""#text"":""10.23.123.11""},{""@Name"":""IpPort"",""#text"":""60296""},{""@Name"":""ShareName"",""#text"":""\\\\*\\C$""},{""@Name"":""ShareLocalPath"",""#text"":""\\??\\C:\\""},{""@Name"":""RelativeTargetName"",""#text"":""Users\\admmig\\AppData\\Roaming\\Microsoft\\Protect\\S-1-5-21-4230534742-2542757381-3142984815-1111\\4940c1c2-798b-4291-9cbf-56ba1bc56acd""},{""@Name"":""AccessMask"",""#text"":""0x20089""},{""@Name"":""AccessList"",""#text"":""%%1538, %%4416, %%4419, %%4423, ""},{""@Name"":""AccessReason"",""#text"":""-""}]}}"
14,1165186,2021-12-12 11:53:11.6482930,5145,LogAlways,Microsoft-Windows-Security-Auditing,Security,480,488,fs03vuln.offsec.lan,0,,Network share object access,OFFSEC\admmig,10.23.123.11:60296,Share: \\*\C$ (\??\C:\),Object: Users\admmig\AppData\Roaming\Microsoft\Protect\S-1-5-21-4230534742-2542757381-3142984815-1111\dd10a8dd-2e01-4512-9e4e-0ab8b174b115,AccessList: Unknown code (%%1538 | %%4416 | %%4419 | %%4423),AccessMask: Unknown code (0x20089),SID: S-1-5-21-4230534742-2542757381-3142984815-1111,,,False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1555-Credentials from Password Stores\ID5145-user file-credentials-browser dump via network share.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x883836E""},{""@Name"":""ObjectType"",""#text"":""File""},{""@Name"":""IpAddress"",""#text"":""10.23.123.11""},{""@Name"":""IpPort"",""#text"":""60296""},{""@Name"":""ShareName"",""#text"":""\\\\*\\C$""},{""@Name"":""ShareLocalPath"",""#text"":""\\??\\C:\\""},{""@Name"":""RelativeTargetName"",""#text"":""Users\\admmig\\AppData\\Roaming\\Microsoft\\Protect\\S-1-5-21-4230534742-2542757381-3142984815-1111\\dd10a8dd-2e01-4512-9e4e-0ab8b174b115""},{""@Name"":""AccessMask"",""#text"":""0x20089""},{""@Name"":""AccessList"",""#text"":""%%1538, %%4416, %%4419, %%4423, ""},{""@Name"":""AccessReason"",""#text"":""-""}]}}"
15,1165188,2021-12-12 11:53:11.6639235,5145,LogAlways,Microsoft-Windows-Security-Auditing,Security,480,488,fs03vuln.offsec.lan,0,,Network share object access,OFFSEC\admmig,10.23.123.11:60296,Share: \\*\C$ (\??\C:\),Object: Users\All Users\AppData\Roaming\Microsoft\Protect,AccessList: ReadData (or ListDirectory),AccessMask: Unknown code (0x1),SID: S-1-5-21-4230534742-2542757381-3142984815-1111,,,False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1555-Credentials from Password Stores\ID5145-user file-credentials-browser dump via network share.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x883836E""},{""@Name"":""ObjectType"",""#text"":""File""},{""@Name"":""IpAddress"",""#text"":""10.23.123.11""},{""@Name"":""IpPort"",""#text"":""60296""},{""@Name"":""ShareName"",""#text"":""\\\\*\\C$""},{""@Name"":""ShareLocalPath"",""#text"":""\\??\\C:\\""},{""@Name"":""RelativeTargetName"",""#text"":""Users\\All Users\\AppData\\Roaming\\Microsoft\\Protect""},{""@Name"":""AccessMask"",""#text"":""0x1""},{""@Name"":""AccessList"",""#text"":""%%4416, ""},{""@Name"":""AccessReason"",""#text"":""-""}]}}"
16,1165190,2021-12-12 11:53:11.6639235,5145,LogAlways,Microsoft-Windows-Security-Auditing,Security,480,488,fs03vuln.offsec.lan,0,,Network share object access,OFFSEC\admmig,10.23.123.11:60296,Share: \\*\C$ (\??\C:\),Object: Users\Default\AppData\Roaming\Microsoft\Protect,AccessList: ReadData (or ListDirectory),AccessMask: Unknown code (0x1),SID: S-1-5-21-4230534742-2542757381-3142984815-1111,,,False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1555-Credentials from Password Stores\ID5145-user file-credentials-browser dump via network share.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x883836E""},{""@Name"":""ObjectType"",""#text"":""File""},{""@Name"":""IpAddress"",""#text"":""10.23.123.11""},{""@Name"":""IpPort"",""#text"":""60296""},{""@Name"":""ShareName"",""#text"":""\\\\*\\C$""},{""@Name"":""ShareLocalPath"",""#text"":""\\??\\C:\\""},{""@Name"":""RelativeTargetName"",""#text"":""Users\\Default\\AppData\\Roaming\\Microsoft\\Protect""},{""@Name"":""AccessMask"",""#text"":""0x1""},{""@Name"":""AccessList"",""#text"":""%%4416, ""},{""@Name"":""AccessReason"",""#text"":""-""}]}}"
17,1165192,2021-12-12 11:53:11.6639235,5145,LogAlways,Microsoft-Windows-Security-Auditing,Security,480,488,fs03vuln.offsec.lan,0,,Network share object access,OFFSEC\admmig,10.23.123.11:60296,Share: \\*\C$ (\??\C:\),Object: Users\Default User\AppData\Roaming\Microsoft\Protect,AccessList: ReadData (or ListDirectory),AccessMask: Unknown code (0x1),SID: S-1-5-21-4230534742-2542757381-3142984815-1111,,,False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1555-Credentials from Password Stores\ID5145-user file-credentials-browser dump via network share.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x883836E""},{""@Name"":""ObjectType"",""#text"":""File""},{""@Name"":""IpAddress"",""#text"":""10.23.123.11""},{""@Name"":""IpPort"",""#text"":""60296""},{""@Name"":""ShareName"",""#text"":""\\\\*\\C$""},{""@Name"":""ShareLocalPath"",""#text"":""\\??\\C:\\""},{""@Name"":""RelativeTargetName"",""#text"":""Users\\Default User\\AppData\\Roaming\\Microsoft\\Protect""},{""@Name"":""AccessMask"",""#text"":""0x1""},{""@Name"":""AccessList"",""#text"":""%%4416, ""},{""@Name"":""AccessReason"",""#text"":""-""}]}}"
18,1165194,2021-12-12 11:53:11.6806872,5145,LogAlways,Microsoft-Windows-Security-Auditing,Security,480,488,fs03vuln.offsec.lan,0,,Network share object access,OFFSEC\admmig,10.23.123.11:60296,Share: \\*\C$ (\??\C:\),Object: Users\hack1\AppData\Roaming\Microsoft\Protect,AccessList: ReadData (or ListDirectory),AccessMask: Unknown code (0x1),SID: S-1-5-21-4230534742-2542757381-3142984815-1111,,,False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1555-Credentials from Password Stores\ID5145-user file-credentials-browser dump via network share.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x883836E""},{""@Name"":""ObjectType"",""#text"":""File""},{""@Name"":""IpAddress"",""#text"":""10.23.123.11""},{""@Name"":""IpPort"",""#text"":""60296""},{""@Name"":""ShareName"",""#text"":""\\\\*\\C$""},{""@Name"":""ShareLocalPath"",""#text"":""\\??\\C:\\""},{""@Name"":""RelativeTargetName"",""#text"":""Users\\hack1\\AppData\\Roaming\\Microsoft\\Protect""},{""@Name"":""AccessMask"",""#text"":""0x1""},{""@Name"":""AccessList"",""#text"":""%%4416, ""},{""@Name"":""AccessReason"",""#text"":""-""}]}}"
