RecordNumber,EventRecordId,TimeCreated,EventId,Level,Provider,Channel,ProcessId,ThreadId,Computer,ChunkNumber,UserId,MapDescription,UserName,RemoteHost,PayloadData1,PayloadData2,PayloadData3,PayloadData4,PayloadData5,PayloadData6,ExecutableInfo,HiddenRecord,SourceFile,Keywords,ExtraDataOffset,Payload
1,24472535,2020-08-02 11:21:40.8849263,4662,LogAlways,Microsoft-Windows-Security-Auditing,Security,516,3936,rootdc1.offsec.lan,0,,Operation performed on an object,OFFSEC\ROOTDC2$,,ObjectServer: DS,ObjectType: %{19195a5b-6da0-11d0-afd3-00c04fd930c9},ObjectName: %{0b32719a-29a5-4ad5-b9dc-56200eba0ce0},"AccessList: Unknown code (%%7688, )",AccessMask: Unknown code (0x100),,,False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1555-Credentials from Password Stores\ID4662-Sensitve DPAPI attributes accessed.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1120""},{""@Name"":""SubjectUserName"",""#text"":""ROOTDC2$""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x11B021D9""},{""@Name"":""ObjectServer"",""#text"":""DS""},{""@Name"":""ObjectType"",""#text"":""%{19195a5b-6da0-11d0-afd3-00c04fd930c9}""},{""@Name"":""ObjectName"",""#text"":""%{0b32719a-29a5-4ad5-b9dc-56200eba0ce0}""},{""@Name"":""OperationType"",""#text"":""Object Access""},{""@Name"":""HandleId"",""#text"":""0x0""},{""@Name"":""AccessList"",""#text"":""%%7688, ""},{""@Name"":""AccessMask"",""#text"":""0x100""},{""@Name"":""Properties"",""#text"":""%%7688, {1131f6aa-9c07-11d1-f79f-00c04fc2dcd2}, {19195a5b-6da0-11d0-afd3-00c04fd930c9}, ""},{""@Name"":""AdditionalInfo"",""#text"":""-""},{""@Name"":""AdditionalInfo2""}]}}"
2,24472536,2020-08-02 11:21:40.8849952,4662,LogAlways,Microsoft-Windows-Security-Auditing,Security,516,3936,rootdc1.offsec.lan,0,,Operation performed on an object,OFFSEC\ROOTDC2$,,ObjectServer: DS,ObjectType: %{19195a5b-6da0-11d0-afd3-00c04fd930c9},ObjectName: %{0b32719a-29a5-4ad5-b9dc-56200eba0ce0},"AccessList: Unknown code (%%7688, )",AccessMask: Unknown code (0x100),,,False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1555-Credentials from Password Stores\ID4662-Sensitve DPAPI attributes accessed.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1120""},{""@Name"":""SubjectUserName"",""#text"":""ROOTDC2$""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x11B021D9""},{""@Name"":""ObjectServer"",""#text"":""DS""},{""@Name"":""ObjectType"",""#text"":""%{19195a5b-6da0-11d0-afd3-00c04fd930c9}""},{""@Name"":""ObjectName"",""#text"":""%{0b32719a-29a5-4ad5-b9dc-56200eba0ce0}""},{""@Name"":""OperationType"",""#text"":""Object Access""},{""@Name"":""HandleId"",""#text"":""0x0""},{""@Name"":""AccessList"",""#text"":""%%7688, ""},{""@Name"":""AccessMask"",""#text"":""0x100""},{""@Name"":""Properties"",""#text"":""%%7688, {89e95b76-444d-4c62-991a-0facbeda640c}, {19195a5b-6da0-11d0-afd3-00c04fd930c9}, ""},{""@Name"":""AdditionalInfo"",""#text"":""-""},{""@Name"":""AdditionalInfo2""}]}}"
3,24472537,2020-08-02 11:21:40.8850460,4662,LogAlways,Microsoft-Windows-Security-Auditing,Security,516,3936,rootdc1.offsec.lan,0,,Operation performed on an object,OFFSEC\ROOTDC2$,,ObjectServer: DS,ObjectType: %{19195a5b-6da0-11d0-afd3-00c04fd930c9},ObjectName: %{0b32719a-29a5-4ad5-b9dc-56200eba0ce0},"AccessList: Unknown code (%%7688, )",AccessMask: Unknown code (0x100),,,False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1555-Credentials from Password Stores\ID4662-Sensitve DPAPI attributes accessed.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1120""},{""@Name"":""SubjectUserName"",""#text"":""ROOTDC2$""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x11B021D9""},{""@Name"":""ObjectServer"",""#text"":""DS""},{""@Name"":""ObjectType"",""#text"":""%{19195a5b-6da0-11d0-afd3-00c04fd930c9}""},{""@Name"":""ObjectName"",""#text"":""%{0b32719a-29a5-4ad5-b9dc-56200eba0ce0}""},{""@Name"":""OperationType"",""#text"":""Object Access""},{""@Name"":""HandleId"",""#text"":""0x0""},{""@Name"":""AccessList"",""#text"":""%%7688, ""},{""@Name"":""AccessMask"",""#text"":""0x100""},{""@Name"":""Properties"",""#text"":""%%7688, {1131f6ad-9c07-11d1-f79f-00c04fc2dcd2}, {19195a5b-6da0-11d0-afd3-00c04fd930c9}, ""},{""@Name"":""AdditionalInfo"",""#text"":""-""},{""@Name"":""AdditionalInfo2""}]}}"
4,24472542,2020-08-02 11:21:46.0538140,4662,LogAlways,Microsoft-Windows-Security-Auditing,Security,516,556,rootdc1.offsec.lan,0,,Operation performed on an object,OFFSEC\admmig,,ObjectServer: DS,ObjectType: %{bf967a9c-0de6-11d0-a285-00aa003049e2},ObjectName: %{7a2aa51b-a49d-4a86-8d4d-fe63ecbb68ee},"AccessList: Unknown code (%%7688, )",AccessMask: Unknown code (0x100),,,False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1555-Credentials from Password Stores\ID4662-Sensitve DPAPI attributes accessed.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x11AC8266""},{""@Name"":""ObjectServer"",""#text"":""DS""},{""@Name"":""ObjectType"",""#text"":""%{bf967a9c-0de6-11d0-a285-00aa003049e2}""},{""@Name"":""ObjectName"",""#text"":""%{7a2aa51b-a49d-4a86-8d4d-fe63ecbb68ee}""},{""@Name"":""OperationType"",""#text"":""Object Access""},{""@Name"":""HandleId"",""#text"":""0x0""},{""@Name"":""AccessList"",""#text"":""%%7688, ""},{""@Name"":""AccessMask"",""#text"":""0x100""},{""@Name"":""Properties"",""#text"":""%%7688, {771727b1-31b8-4cdf-ae62-4fe39fadf89e}, {612cb747-c0e8-4f92-9221-fdd5f15b550d}, {bf967a9c-0de6-11d0-a285-00aa003049e2}, ""},{""@Name"":""AdditionalInfo"",""#text"":""-""},{""@Name"":""AdditionalInfo2""}]}}"
5,24472543,2020-08-02 11:21:46.0586347,4662,LogAlways,Microsoft-Windows-Security-Auditing,Security,516,556,rootdc1.offsec.lan,0,,Operation performed on an object,OFFSEC\admmig,,ObjectServer: DS,ObjectType: %{bf967a9c-0de6-11d0-a285-00aa003049e2},ObjectName: %{e02b989d-b855-493a-9235-765993b70797},"AccessList: Unknown code (%%7688, )",AccessMask: Unknown code (0x100),,,False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1555-Credentials from Password Stores\ID4662-Sensitve DPAPI attributes accessed.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x11AC8266""},{""@Name"":""ObjectServer"",""#text"":""DS""},{""@Name"":""ObjectType"",""#text"":""%{bf967a9c-0de6-11d0-a285-00aa003049e2}""},{""@Name"":""ObjectName"",""#text"":""%{e02b989d-b855-493a-9235-765993b70797}""},{""@Name"":""OperationType"",""#text"":""Object Access""},{""@Name"":""HandleId"",""#text"":""0x0""},{""@Name"":""AccessList"",""#text"":""%%7688, ""},{""@Name"":""AccessMask"",""#text"":""0x100""},{""@Name"":""Properties"",""#text"":""%%7688, {771727b1-31b8-4cdf-ae62-4fe39fadf89e}, {612cb747-c0e8-4f92-9221-fdd5f15b550d}, {bf967a9c-0de6-11d0-a285-00aa003049e2}, ""},{""@Name"":""AdditionalInfo"",""#text"":""-""},{""@Name"":""AdditionalInfo2""}]}}"
6,24472544,2020-08-02 11:21:46.0628356,4662,LogAlways,Microsoft-Windows-Security-Auditing,Security,516,556,rootdc1.offsec.lan,0,,Operation performed on an object,OFFSEC\admmig,,ObjectServer: DS,ObjectType: %{bf967aba-0de6-11d0-a285-00aa003049e2},ObjectName: %{18db5f14-2b8e-4f6d-9acd-52288e5c6b13},"AccessList: Unknown code (%%7688, )",AccessMask: Unknown code (0x100),,,False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1555-Credentials from Password Stores\ID4662-Sensitve DPAPI attributes accessed.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x11AC8266""},{""@Name"":""ObjectServer"",""#text"":""DS""},{""@Name"":""ObjectType"",""#text"":""%{bf967aba-0de6-11d0-a285-00aa003049e2}""},{""@Name"":""ObjectName"",""#text"":""%{18db5f14-2b8e-4f6d-9acd-52288e5c6b13}""},{""@Name"":""OperationType"",""#text"":""Object Access""},{""@Name"":""HandleId"",""#text"":""0x0""},{""@Name"":""AccessList"",""#text"":""%%7688, ""},{""@Name"":""AccessMask"",""#text"":""0x100""},{""@Name"":""Properties"",""#text"":""%%7688, {91e647de-d96f-4b70-9557-d63ff4f3ccd8}, {6617e4ac-a2f1-43ab-b60c-11fbd1facf05}, {b3f93023-9239-4f7c-b99c-6745d87adbc2}, {b8dfa744-31dc-4ef1-ac7c-84baf7ef9da7}, {b7ff5a38-0818-42b0-8110-d3d154c97f24}, {771727b1-31b8-4cdf-ae62-4fe39fadf89e}, {612cb747-c0e8-4f92-9221-fdd5f15b550d}, {bf967aba-0de6-11d0-a285-00aa003049e2}, ""},{""@Name"":""AdditionalInfo"",""#text"":""-""},{""@Name"":""AdditionalInfo2""}]}}"
7,24472545,2020-08-02 11:21:46.0683651,4662,LogAlways,Microsoft-Windows-Security-Auditing,Security,516,556,rootdc1.offsec.lan,0,,Operation performed on an object,OFFSEC\admmig,,ObjectServer: DS,ObjectType: %{bf967aba-0de6-11d0-a285-00aa003049e2},ObjectName: %{120f7a13-d3fa-4e8d-ba19-dc7a65e528c6},"AccessList: Unknown code (%%7688, )",AccessMask: Unknown code (0x100),,,False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1555-Credentials from Password Stores\ID4662-Sensitve DPAPI attributes accessed.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x11AC8266""},{""@Name"":""ObjectServer"",""#text"":""DS""},{""@Name"":""ObjectType"",""#text"":""%{bf967aba-0de6-11d0-a285-00aa003049e2}""},{""@Name"":""ObjectName"",""#text"":""%{120f7a13-d3fa-4e8d-ba19-dc7a65e528c6}""},{""@Name"":""OperationType"",""#text"":""Object Access""},{""@Name"":""HandleId"",""#text"":""0x0""},{""@Name"":""AccessList"",""#text"":""%%7688, ""},{""@Name"":""AccessMask"",""#text"":""0x100""},{""@Name"":""Properties"",""#text"":""%%7688, {91e647de-d96f-4b70-9557-d63ff4f3ccd8}, {6617e4ac-a2f1-43ab-b60c-11fbd1facf05}, {b3f93023-9239-4f7c-b99c-6745d87adbc2}, {b8dfa744-31dc-4ef1-ac7c-84baf7ef9da7}, {b7ff5a38-0818-42b0-8110-d3d154c97f24}, {771727b1-31b8-4cdf-ae62-4fe39fadf89e}, {612cb747-c0e8-4f92-9221-fdd5f15b550d}, {bf967aba-0de6-11d0-a285-00aa003049e2}, ""},{""@Name"":""AdditionalInfo"",""#text"":""-""},{""@Name"":""AdditionalInfo2""}]}}"
8,24472546,2020-08-02 11:21:46.0735208,4662,LogAlways,Microsoft-Windows-Security-Auditing,Security,516,556,rootdc1.offsec.lan,0,,Operation performed on an object,OFFSEC\admmig,,ObjectServer: DS,ObjectType: %{bf967a9c-0de6-11d0-a285-00aa003049e2},ObjectName: %{7bc9dbce-f0db-4dc9-a3e3-abe91cf212a9},"AccessList: Unknown code (%%7688, )",AccessMask: Unknown code (0x100),,,False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1555-Credentials from Password Stores\ID4662-Sensitve DPAPI attributes accessed.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x11AC8266""},{""@Name"":""ObjectServer"",""#text"":""DS""},{""@Name"":""ObjectType"",""#text"":""%{bf967a9c-0de6-11d0-a285-00aa003049e2}""},{""@Name"":""ObjectName"",""#text"":""%{7bc9dbce-f0db-4dc9-a3e3-abe91cf212a9}""},{""@Name"":""OperationType"",""#text"":""Object Access""},{""@Name"":""HandleId"",""#text"":""0x0""},{""@Name"":""AccessList"",""#text"":""%%7688, ""},{""@Name"":""AccessMask"",""#text"":""0x100""},{""@Name"":""Properties"",""#text"":""%%7688, {771727b1-31b8-4cdf-ae62-4fe39fadf89e}, {612cb747-c0e8-4f92-9221-fdd5f15b550d}, {bf967a9c-0de6-11d0-a285-00aa003049e2}, ""},{""@Name"":""AdditionalInfo"",""#text"":""-""},{""@Name"":""AdditionalInfo2""}]}}"
9,24472547,2020-08-02 11:21:46.0780703,4662,LogAlways,Microsoft-Windows-Security-Auditing,Security,516,556,rootdc1.offsec.lan,0,,Operation performed on an object,OFFSEC\admmig,,ObjectServer: DS,ObjectType: %{bf967aba-0de6-11d0-a285-00aa003049e2},ObjectName: %{8519a9a6-b076-4c02-b9b8-a0a02d3df50f},"AccessList: Unknown code (%%7688, )",AccessMask: Unknown code (0x100),,,False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1555-Credentials from Password Stores\ID4662-Sensitve DPAPI attributes accessed.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x11AC8266""},{""@Name"":""ObjectServer"",""#text"":""DS""},{""@Name"":""ObjectType"",""#text"":""%{bf967aba-0de6-11d0-a285-00aa003049e2}""},{""@Name"":""ObjectName"",""#text"":""%{8519a9a6-b076-4c02-b9b8-a0a02d3df50f}""},{""@Name"":""OperationType"",""#text"":""Object Access""},{""@Name"":""HandleId"",""#text"":""0x0""},{""@Name"":""AccessList"",""#text"":""%%7688, ""},{""@Name"":""AccessMask"",""#text"":""0x100""},{""@Name"":""Properties"",""#text"":""%%7688, {91e647de-d96f-4b70-9557-d63ff4f3ccd8}, {6617e4ac-a2f1-43ab-b60c-11fbd1facf05}, {b3f93023-9239-4f7c-b99c-6745d87adbc2}, {b8dfa744-31dc-4ef1-ac7c-84baf7ef9da7}, {b7ff5a38-0818-42b0-8110-d3d154c97f24}, {771727b1-31b8-4cdf-ae62-4fe39fadf89e}, {612cb747-c0e8-4f92-9221-fdd5f15b550d}, {bf967aba-0de6-11d0-a285-00aa003049e2}, ""},{""@Name"":""AdditionalInfo"",""#text"":""-""},{""@Name"":""AdditionalInfo2""}]}}"
10,24472548,2020-08-02 11:21:46.0835896,4662,LogAlways,Microsoft-Windows-Security-Auditing,Security,516,556,rootdc1.offsec.lan,0,,Operation performed on an object,OFFSEC\admmig,,ObjectServer: DS,ObjectType: %{bf967aba-0de6-11d0-a285-00aa003049e2},ObjectName: %{1469d58f-105f-47bb-b6c9-41db56a3153f},"AccessList: Unknown code (%%7688, )",AccessMask: Unknown code (0x100),,,False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1555-Credentials from Password Stores\ID4662-Sensitve DPAPI attributes accessed.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x11AC8266""},{""@Name"":""ObjectServer"",""#text"":""DS""},{""@Name"":""ObjectType"",""#text"":""%{bf967aba-0de6-11d0-a285-00aa003049e2}""},{""@Name"":""ObjectName"",""#text"":""%{1469d58f-105f-47bb-b6c9-41db56a3153f}""},{""@Name"":""OperationType"",""#text"":""Object Access""},{""@Name"":""HandleId"",""#text"":""0x0""},{""@Name"":""AccessList"",""#text"":""%%7688, ""},{""@Name"":""AccessMask"",""#text"":""0x100""},{""@Name"":""Properties"",""#text"":""%%7688, {91e647de-d96f-4b70-9557-d63ff4f3ccd8}, {6617e4ac-a2f1-43ab-b60c-11fbd1facf05}, {b3f93023-9239-4f7c-b99c-6745d87adbc2}, {b8dfa744-31dc-4ef1-ac7c-84baf7ef9da7}, {b7ff5a38-0818-42b0-8110-d3d154c97f24}, {771727b1-31b8-4cdf-ae62-4fe39fadf89e}, {612cb747-c0e8-4f92-9221-fdd5f15b550d}, {bf967aba-0de6-11d0-a285-00aa003049e2}, ""},{""@Name"":""AdditionalInfo"",""#text"":""-""},{""@Name"":""AdditionalInfo2""}]}}"
11,24472549,2020-08-02 11:21:46.0887938,4662,LogAlways,Microsoft-Windows-Security-Auditing,Security,516,556,rootdc1.offsec.lan,0,,Operation performed on an object,OFFSEC\admmig,,ObjectServer: DS,ObjectType: %{bf967aba-0de6-11d0-a285-00aa003049e2},ObjectName: %{690df025-6ce3-4735-9a97-4a0a18b965a8},"AccessList: Unknown code (%%7688, )",AccessMask: Unknown code (0x100),,,False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1555-Credentials from Password Stores\ID4662-Sensitve DPAPI attributes accessed.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x11AC8266""},{""@Name"":""ObjectServer"",""#text"":""DS""},{""@Name"":""ObjectType"",""#text"":""%{bf967aba-0de6-11d0-a285-00aa003049e2}""},{""@Name"":""ObjectName"",""#text"":""%{690df025-6ce3-4735-9a97-4a0a18b965a8}""},{""@Name"":""OperationType"",""#text"":""Object Access""},{""@Name"":""HandleId"",""#text"":""0x0""},{""@Name"":""AccessList"",""#text"":""%%7688, ""},{""@Name"":""AccessMask"",""#text"":""0x100""},{""@Name"":""Properties"",""#text"":""%%7688, {91e647de-d96f-4b70-9557-d63ff4f3ccd8}, {6617e4ac-a2f1-43ab-b60c-11fbd1facf05}, {b3f93023-9239-4f7c-b99c-6745d87adbc2}, {b8dfa744-31dc-4ef1-ac7c-84baf7ef9da7}, {b7ff5a38-0818-42b0-8110-d3d154c97f24}, {771727b1-31b8-4cdf-ae62-4fe39fadf89e}, {612cb747-c0e8-4f92-9221-fdd5f15b550d}, {bf967aba-0de6-11d0-a285-00aa003049e2}, ""},{""@Name"":""AdditionalInfo"",""#text"":""-""},{""@Name"":""AdditionalInfo2""}]}}"
12,24472550,2020-08-02 11:21:46.0945111,4662,LogAlways,Microsoft-Windows-Security-Auditing,Security,516,556,rootdc1.offsec.lan,0,,Operation performed on an object,OFFSEC\admmig,,ObjectServer: DS,ObjectType: %{bf967aba-0de6-11d0-a285-00aa003049e2},ObjectName: %{387d11f9-410b-4cd3-a3d6-7f390cd4c65a},"AccessList: Unknown code (%%7688, )",AccessMask: Unknown code (0x100),,,False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1555-Credentials from Password Stores\ID4662-Sensitve DPAPI attributes accessed.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x11AC8266""},{""@Name"":""ObjectServer"",""#text"":""DS""},{""@Name"":""ObjectType"",""#text"":""%{bf967aba-0de6-11d0-a285-00aa003049e2}""},{""@Name"":""ObjectName"",""#text"":""%{387d11f9-410b-4cd3-a3d6-7f390cd4c65a}""},{""@Name"":""OperationType"",""#text"":""Object Access""},{""@Name"":""HandleId"",""#text"":""0x0""},{""@Name"":""AccessList"",""#text"":""%%7688, ""},{""@Name"":""AccessMask"",""#text"":""0x100""},{""@Name"":""Properties"",""#text"":""%%7688, {91e647de-d96f-4b70-9557-d63ff4f3ccd8}, {6617e4ac-a2f1-43ab-b60c-11fbd1facf05}, {b3f93023-9239-4f7c-b99c-6745d87adbc2}, {b8dfa744-31dc-4ef1-ac7c-84baf7ef9da7}, {b7ff5a38-0818-42b0-8110-d3d154c97f24}, {771727b1-31b8-4cdf-ae62-4fe39fadf89e}, {612cb747-c0e8-4f92-9221-fdd5f15b550d}, {bf967aba-0de6-11d0-a285-00aa003049e2}, ""},{""@Name"":""AdditionalInfo"",""#text"":""-""},{""@Name"":""AdditionalInfo2""}]}}"
13,24472551,2020-08-02 11:21:46.1001198,4662,LogAlways,Microsoft-Windows-Security-Auditing,Security,516,556,rootdc1.offsec.lan,0,,Operation performed on an object,OFFSEC\admmig,,ObjectServer: DS,ObjectType: %{bf967aba-0de6-11d0-a285-00aa003049e2},ObjectName: %{a8745ccb-c7e3-4b62-918d-46a49965226c},"AccessList: Unknown code (%%7688, )",AccessMask: Unknown code (0x100),,,False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1555-Credentials from Password Stores\ID4662-Sensitve DPAPI attributes accessed.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x11AC8266""},{""@Name"":""ObjectServer"",""#text"":""DS""},{""@Name"":""ObjectType"",""#text"":""%{bf967aba-0de6-11d0-a285-00aa003049e2}""},{""@Name"":""ObjectName"",""#text"":""%{a8745ccb-c7e3-4b62-918d-46a49965226c}""},{""@Name"":""OperationType"",""#text"":""Object Access""},{""@Name"":""HandleId"",""#text"":""0x0""},{""@Name"":""AccessList"",""#text"":""%%7688, ""},{""@Name"":""AccessMask"",""#text"":""0x100""},{""@Name"":""Properties"",""#text"":""%%7688, {91e647de-d96f-4b70-9557-d63ff4f3ccd8}, {6617e4ac-a2f1-43ab-b60c-11fbd1facf05}, {b3f93023-9239-4f7c-b99c-6745d87adbc2}, {b8dfa744-31dc-4ef1-ac7c-84baf7ef9da7}, {b7ff5a38-0818-42b0-8110-d3d154c97f24}, {771727b1-31b8-4cdf-ae62-4fe39fadf89e}, {612cb747-c0e8-4f92-9221-fdd5f15b550d}, {bf967aba-0de6-11d0-a285-00aa003049e2}, ""},{""@Name"":""AdditionalInfo"",""#text"":""-""},{""@Name"":""AdditionalInfo2""}]}}"
14,24472552,2020-08-02 11:21:46.1063306,4662,LogAlways,Microsoft-Windows-Security-Auditing,Security,516,556,rootdc1.offsec.lan,0,,Operation performed on an object,OFFSEC\admmig,,ObjectServer: DS,ObjectType: %{bf967a9c-0de6-11d0-a285-00aa003049e2},ObjectName: %{20b85fd4-dda0-46c3-b673-f1c642b59ffc},"AccessList: Unknown code (%%7688, )",AccessMask: Unknown code (0x100),,,False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1555-Credentials from Password Stores\ID4662-Sensitve DPAPI attributes accessed.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x11AC8266""},{""@Name"":""ObjectServer"",""#text"":""DS""},{""@Name"":""ObjectType"",""#text"":""%{bf967a9c-0de6-11d0-a285-00aa003049e2}""},{""@Name"":""ObjectName"",""#text"":""%{20b85fd4-dda0-46c3-b673-f1c642b59ffc}""},{""@Name"":""OperationType"",""#text"":""Object Access""},{""@Name"":""HandleId"",""#text"":""0x0""},{""@Name"":""AccessList"",""#text"":""%%7688, ""},{""@Name"":""AccessMask"",""#text"":""0x100""},{""@Name"":""Properties"",""#text"":""%%7688, {771727b1-31b8-4cdf-ae62-4fe39fadf89e}, {612cb747-c0e8-4f92-9221-fdd5f15b550d}, {bf967a9c-0de6-11d0-a285-00aa003049e2}, ""},{""@Name"":""AdditionalInfo"",""#text"":""-""},{""@Name"":""AdditionalInfo2""}]}}"
