RecordNumber,EventRecordId,TimeCreated,EventId,Level,Provider,Channel,ProcessId,ThreadId,Computer,ChunkNumber,UserId,MapDescription,UserName,RemoteHost,PayloadData1,PayloadData2,PayloadData3,PayloadData4,PayloadData5,PayloadData6,ExecutableInfo,HiddenRecord,SourceFile,Keywords,ExtraDataOffset,Payload
1,462989,2021-04-26 08:25:31.0436850,1102,Info,Microsoft-Windows-Eventlog,Security,960,2340,srvdefender01.offsec.lan,0,,Event log cleared,OFFSEC\admmig,,SID: (S-1-5-21-4230534742-2542757381-3142984815-1111),,,,,,,False,"EVTX-to-MITRE-Attack\EVTX_full_APT_attack_steps\ID4688,5140,5145-WMIexec execution via SMB (GLOBAL).evtx",0x4020000000000000,0,"{""UserData"":{""LogFileCleared"":{""SubjectUserSid"":""S-1-5-21-4230534742-2542757381-3142984815-1111"",""SubjectUserName"":""admmig"",""SubjectDomainName"":""OFFSEC"",""SubjectLogonId"":""0x2B5F6BF""}}}"
2,462990,2021-04-26 08:25:36.5608014,4964,LogAlways,Microsoft-Windows-Security-Auditing,Security,584,1092,srvdefender01.offsec.lan,0,,,,,,,,,,,,False,"EVTX-to-MITRE-Attack\EVTX_full_APT_attack_steps\ID4688,5140,5145-WMIexec execution via SMB (GLOBAL).evtx",Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-18""},{""@Name"":""SubjectUserName"",""#text"":""SRVDEFENDER01$""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x3E7""},{""@Name"":""LogonGuid"",""#text"":""00000000-0000-0000-0000-000000000000""},{""@Name"":""TargetUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""TargetUserName"",""#text"":""admmig""},{""@Name"":""TargetDomainName"",""#text"":""OFFSEC""},{""@Name"":""TargetLogonId"",""#text"":""0x4DA321F""},{""@Name"":""TargetLogonGuid"",""#text"":""00000000-0000-0000-0000-000000000000""},{""@Name"":""SidList"",""#text"":"", %{S-1-5-21-4230534742-2542757381-3142984815-1613}""}]}}"
3,462991,2021-04-26 08:25:36.5608112,4672,LogAlways,Microsoft-Windows-Security-Auditing,Security,584,1092,srvdefender01.offsec.lan,0,,Administrative logon,OFFSEC\admmig (S-1-5-21-4230534742-2542757381-3142984815-1111),,"PrivilegeList: SeSecurityPrivilege, SeBackupPrivilege, SeRestorePrivilege, SeTakeOwnershipPrivilege, SeDebugPrivilege, SeSystemEnvironmentPrivilege, SeLoadDriverPrivilege, SeImpersonatePrivilege, SeDelegateSessionUserImpersonatePrivilege",LogonId: 0x4DA321F,,,,,,False,"EVTX-to-MITRE-Attack\EVTX_full_APT_attack_steps\ID4688,5140,5145-WMIexec execution via SMB (GLOBAL).evtx",Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x4DA321F""},{""@Name"":""PrivilegeList"",""#text"":""SeSecurityPrivilege, SeBackupPrivilege, SeRestorePrivilege, SeTakeOwnershipPrivilege, SeDebugPrivilege, SeSystemEnvironmentPrivilege, SeLoadDriverPrivilege, SeImpersonatePrivilege, SeDelegateSessionUserImpersonatePrivilege""}]}}"
4,462992,2021-04-26 08:25:36.5608816,4624,LogAlways,Microsoft-Windows-Security-Auditing,Security,584,1092,srvdefender01.offsec.lan,0,,Successful logon,-\-,- (10.23.123.11),Target: OFFSEC\admmig,LogonType 3,LogonId: 0x4DA321F,AuthenticationPackageName: NTLM,"LogonProcessName: NtLmSsp ",,-,False,"EVTX-to-MITRE-Attack\EVTX_full_APT_attack_steps\ID4688,5140,5145-WMIexec execution via SMB (GLOBAL).evtx",Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-0-0""},{""@Name"":""SubjectUserName"",""#text"":""-""},{""@Name"":""SubjectDomainName"",""#text"":""-""},{""@Name"":""SubjectLogonId"",""#text"":""0x0""},{""@Name"":""TargetUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""TargetUserName"",""#text"":""admmig""},{""@Name"":""TargetDomainName"",""#text"":""OFFSEC""},{""@Name"":""TargetLogonId"",""#text"":""0x4DA321F""},{""@Name"":""LogonType"",""#text"":""3""},{""@Name"":""LogonProcessName"",""#text"":""NtLmSsp ""},{""@Name"":""AuthenticationPackageName"",""#text"":""NTLM""},{""@Name"":""WorkstationName"",""#text"":""-""},{""@Name"":""LogonGuid"",""#text"":""00000000-0000-0000-0000-000000000000""},{""@Name"":""TransmittedServices"",""#text"":""-""},{""@Name"":""LmPackageName"",""#text"":""NTLM V2""},{""@Name"":""KeyLength"",""#text"":""0""},{""@Name"":""ProcessId"",""#text"":""0x0""},{""@Name"":""ProcessName"",""#text"":""-""},{""@Name"":""IpAddress"",""#text"":""10.23.123.11""},{""@Name"":""IpPort"",""#text"":""47020""},{""@Name"":""ImpersonationLevel"",""#text"":""%%1833""},{""@Name"":""RestrictedAdminMode"",""#text"":""-""},{""@Name"":""TargetOutboundUserName"",""#text"":""-""},{""@Name"":""TargetOutboundDomainName"",""#text"":""-""},{""@Name"":""VirtualAccount"",""#text"":""%%1843""},{""@Name"":""TargetLinkedLogonId"",""#text"":""0x0""},{""@Name"":""ElevatedToken"",""#text"":""%%1842""}]}}"
5,462993,2021-04-26 08:25:36.5609244,4627,LogAlways,Microsoft-Windows-Security-Auditing,Security,584,1092,srvdefender01.offsec.lan,0,,,,,,,,,,,,False,"EVTX-to-MITRE-Attack\EVTX_full_APT_attack_steps\ID4688,5140,5145-WMIexec execution via SMB (GLOBAL).evtx",Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-0-0""},{""@Name"":""SubjectUserName"",""#text"":""-""},{""@Name"":""SubjectDomainName"",""#text"":""-""},{""@Name"":""SubjectLogonId"",""#text"":""0x0""},{""@Name"":""TargetUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""TargetUserName"",""#text"":""admmig""},{""@Name"":""TargetDomainName"",""#text"":""OFFSEC""},{""@Name"":""TargetLogonId"",""#text"":""0x4DA321F""},{""@Name"":""LogonType"",""#text"":""3""},{""@Name"":""EventIdx"",""#text"":""1""},{""@Name"":""EventCountTotal"",""#text"":""1""},{""@Name"":""GroupMembership"",""#text"":"", %{S-1-5-21-4230534742-2542757381-3142984815-513}, %{S-1-1-0}, %{S-1-5-32-545}, %{S-1-5-32-544}, %{S-1-5-2}, %{S-1-5-11}, %{S-1-5-15}, %{S-1-5-21-4230534742-2542757381-3142984815-1605}, %{S-1-5-21-4230534742-2542757381-3142984815-1613}, %{S-1-5-21-4230534742-2542757381-3142984815-1172}, %{S-1-5-21-4230534742-2542757381-3142984815-512}, %{S-1-5-21-4230534742-2542757381-3142984815-1190}, %{S-1-5-21-4230534742-2542757381-3142984815-518}, %{S-1-5-21-4230534742-2542757381-3142984815-1198}, %{S-1-5-21-4230534742-2542757381-3142984815-519}, %{S-1-5-21-4230534742-2542757381-3142984815-572}, %{S-1-5-64-10}, %{S-1-16-12288}""}]}}"
6,462994,2021-04-26 08:25:36.5847455,4964,LogAlways,Microsoft-Windows-Security-Auditing,Security,584,1092,srvdefender01.offsec.lan,0,,,,,,,,,,,,False,"EVTX-to-MITRE-Attack\EVTX_full_APT_attack_steps\ID4688,5140,5145-WMIexec execution via SMB (GLOBAL).evtx",Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-20""},{""@Name"":""SubjectUserName"",""#text"":""SRVDEFENDER01$""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x3E4""},{""@Name"":""LogonGuid"",""#text"":""00000000-0000-0000-0000-000000000000""},{""@Name"":""TargetUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""TargetUserName"",""#text"":""admmig""},{""@Name"":""TargetDomainName"",""#text"":""OFFSEC""},{""@Name"":""TargetLogonId"",""#text"":""0x4DA324F""},{""@Name"":""TargetLogonGuid"",""#text"":""00000000-0000-0000-0000-000000000000""},{""@Name"":""SidList"",""#text"":"", %{S-1-5-21-4230534742-2542757381-3142984815-1613}""}]}}"
7,462995,2021-04-26 08:25:36.5847525,4672,LogAlways,Microsoft-Windows-Security-Auditing,Security,584,1092,srvdefender01.offsec.lan,0,,Administrative logon,OFFSEC\admmig (S-1-5-21-4230534742-2542757381-3142984815-1111),,"PrivilegeList: SeSecurityPrivilege, SeBackupPrivilege, SeRestorePrivilege, SeTakeOwnershipPrivilege, SeDebugPrivilege, SeSystemEnvironmentPrivilege, SeLoadDriverPrivilege, SeImpersonatePrivilege, SeDelegateSessionUserImpersonatePrivilege",LogonId: 0x4DA324F,,,,,,False,"EVTX-to-MITRE-Attack\EVTX_full_APT_attack_steps\ID4688,5140,5145-WMIexec execution via SMB (GLOBAL).evtx",Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x4DA324F""},{""@Name"":""PrivilegeList"",""#text"":""SeSecurityPrivilege, SeBackupPrivilege, SeRestorePrivilege, SeTakeOwnershipPrivilege, SeDebugPrivilege, SeSystemEnvironmentPrivilege, SeLoadDriverPrivilege, SeImpersonatePrivilege, SeDelegateSessionUserImpersonatePrivilege""}]}}"
8,462996,2021-04-26 08:25:36.5848387,4624,LogAlways,Microsoft-Windows-Security-Auditing,Security,584,1092,srvdefender01.offsec.lan,0,,Successful logon,-\-,- (10.23.123.11),Target: OFFSEC\admmig,LogonType 3,LogonId: 0x4DA324F,AuthenticationPackageName: NTLM,"LogonProcessName: NtLmSsp ",,-,False,"EVTX-to-MITRE-Attack\EVTX_full_APT_attack_steps\ID4688,5140,5145-WMIexec execution via SMB (GLOBAL).evtx",Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-0-0""},{""@Name"":""SubjectUserName"",""#text"":""-""},{""@Name"":""SubjectDomainName"",""#text"":""-""},{""@Name"":""SubjectLogonId"",""#text"":""0x0""},{""@Name"":""TargetUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""TargetUserName"",""#text"":""admmig""},{""@Name"":""TargetDomainName"",""#text"":""OFFSEC""},{""@Name"":""TargetLogonId"",""#text"":""0x4DA324F""},{""@Name"":""LogonType"",""#text"":""3""},{""@Name"":""LogonProcessName"",""#text"":""NtLmSsp ""},{""@Name"":""AuthenticationPackageName"",""#text"":""NTLM""},{""@Name"":""WorkstationName"",""#text"":""-""},{""@Name"":""LogonGuid"",""#text"":""00000000-0000-0000-0000-000000000000""},{""@Name"":""TransmittedServices"",""#text"":""-""},{""@Name"":""LmPackageName"",""#text"":""NTLM V2""},{""@Name"":""KeyLength"",""#text"":""128""},{""@Name"":""ProcessId"",""#text"":""0x0""},{""@Name"":""ProcessName"",""#text"":""-""},{""@Name"":""IpAddress"",""#text"":""10.23.123.11""},{""@Name"":""IpPort"",""#text"":""34114""},{""@Name"":""ImpersonationLevel"",""#text"":""%%1833""},{""@Name"":""RestrictedAdminMode"",""#text"":""-""},{""@Name"":""TargetOutboundUserName"",""#text"":""-""},{""@Name"":""TargetOutboundDomainName"",""#text"":""-""},{""@Name"":""VirtualAccount"",""#text"":""%%1843""},{""@Name"":""TargetLinkedLogonId"",""#text"":""0x0""},{""@Name"":""ElevatedToken"",""#text"":""%%1842""}]}}"
9,462997,2021-04-26 08:25:36.5848695,4627,LogAlways,Microsoft-Windows-Security-Auditing,Security,584,1092,srvdefender01.offsec.lan,0,,,,,,,,,,,,False,"EVTX-to-MITRE-Attack\EVTX_full_APT_attack_steps\ID4688,5140,5145-WMIexec execution via SMB (GLOBAL).evtx",Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-0-0""},{""@Name"":""SubjectUserName"",""#text"":""-""},{""@Name"":""SubjectDomainName"",""#text"":""-""},{""@Name"":""SubjectLogonId"",""#text"":""0x0""},{""@Name"":""TargetUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""TargetUserName"",""#text"":""admmig""},{""@Name"":""TargetDomainName"",""#text"":""OFFSEC""},{""@Name"":""TargetLogonId"",""#text"":""0x4DA324F""},{""@Name"":""LogonType"",""#text"":""3""},{""@Name"":""EventIdx"",""#text"":""1""},{""@Name"":""EventCountTotal"",""#text"":""1""},{""@Name"":""GroupMembership"",""#text"":"", %{S-1-5-21-4230534742-2542757381-3142984815-513}, %{S-1-1-0}, %{S-1-5-32-545}, %{S-1-5-32-544}, %{S-1-5-2}, %{S-1-5-11}, %{S-1-5-15}, %{S-1-5-21-4230534742-2542757381-3142984815-1605}, %{S-1-5-21-4230534742-2542757381-3142984815-1613}, %{S-1-5-21-4230534742-2542757381-3142984815-1172}, %{S-1-5-21-4230534742-2542757381-3142984815-512}, %{S-1-5-21-4230534742-2542757381-3142984815-1190}, %{S-1-5-21-4230534742-2542757381-3142984815-518}, %{S-1-5-21-4230534742-2542757381-3142984815-1198}, %{S-1-5-21-4230534742-2542757381-3142984815-519}, %{S-1-5-21-4230534742-2542757381-3142984815-572}, %{S-1-5-64-10}, %{S-1-16-12288}""}]}}"
10,462998,2021-04-26 08:25:36.6864491,4964,LogAlways,Microsoft-Windows-Security-Auditing,Security,584,1092,srvdefender01.offsec.lan,0,,,,,,,,,,,,False,"EVTX-to-MITRE-Attack\EVTX_full_APT_attack_steps\ID4688,5140,5145-WMIexec execution via SMB (GLOBAL).evtx",Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-18""},{""@Name"":""SubjectUserName"",""#text"":""SRVDEFENDER01$""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x3E7""},{""@Name"":""LogonGuid"",""#text"":""00000000-0000-0000-0000-000000000000""},{""@Name"":""TargetUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""TargetUserName"",""#text"":""admmig""},{""@Name"":""TargetDomainName"",""#text"":""OFFSEC""},{""@Name"":""TargetLogonId"",""#text"":""0x4DA3273""},{""@Name"":""TargetLogonGuid"",""#text"":""00000000-0000-0000-0000-000000000000""},{""@Name"":""SidList"",""#text"":"", %{S-1-5-21-4230534742-2542757381-3142984815-1613}""}]}}"
11,462999,2021-04-26 08:25:36.6864556,4672,LogAlways,Microsoft-Windows-Security-Auditing,Security,584,1092,srvdefender01.offsec.lan,0,,Administrative logon,OFFSEC\admmig (S-1-5-21-4230534742-2542757381-3142984815-1111),,"PrivilegeList: SeSecurityPrivilege, SeBackupPrivilege, SeRestorePrivilege, SeTakeOwnershipPrivilege, SeDebugPrivilege, SeSystemEnvironmentPrivilege, SeLoadDriverPrivilege, SeImpersonatePrivilege, SeDelegateSessionUserImpersonatePrivilege",LogonId: 0x4DA3273,,,,,,False,"EVTX-to-MITRE-Attack\EVTX_full_APT_attack_steps\ID4688,5140,5145-WMIexec execution via SMB (GLOBAL).evtx",Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x4DA3273""},{""@Name"":""PrivilegeList"",""#text"":""SeSecurityPrivilege, SeBackupPrivilege, SeRestorePrivilege, SeTakeOwnershipPrivilege, SeDebugPrivilege, SeSystemEnvironmentPrivilege, SeLoadDriverPrivilege, SeImpersonatePrivilege, SeDelegateSessionUserImpersonatePrivilege""}]}}"
12,463000,2021-04-26 08:25:36.6865339,4624,LogAlways,Microsoft-Windows-Security-Auditing,Security,584,1092,srvdefender01.offsec.lan,0,,Successful logon,-\-,- (10.23.123.11),Target: OFFSEC\admmig,LogonType 3,LogonId: 0x4DA3273,AuthenticationPackageName: NTLM,"LogonProcessName: NtLmSsp ",,-,False,"EVTX-to-MITRE-Attack\EVTX_full_APT_attack_steps\ID4688,5140,5145-WMIexec execution via SMB (GLOBAL).evtx",Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-0-0""},{""@Name"":""SubjectUserName"",""#text"":""-""},{""@Name"":""SubjectDomainName"",""#text"":""-""},{""@Name"":""SubjectLogonId"",""#text"":""0x0""},{""@Name"":""TargetUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""TargetUserName"",""#text"":""admmig""},{""@Name"":""TargetDomainName"",""#text"":""OFFSEC""},{""@Name"":""TargetLogonId"",""#text"":""0x4DA3273""},{""@Name"":""LogonType"",""#text"":""3""},{""@Name"":""LogonProcessName"",""#text"":""NtLmSsp ""},{""@Name"":""AuthenticationPackageName"",""#text"":""NTLM""},{""@Name"":""WorkstationName"",""#text"":""-""},{""@Name"":""LogonGuid"",""#text"":""00000000-0000-0000-0000-000000000000""},{""@Name"":""TransmittedServices"",""#text"":""-""},{""@Name"":""LmPackageName"",""#text"":""NTLM V2""},{""@Name"":""KeyLength"",""#text"":""128""},{""@Name"":""ProcessId"",""#text"":""0x0""},{""@Name"":""ProcessName"",""#text"":""-""},{""@Name"":""IpAddress"",""#text"":""10.23.123.11""},{""@Name"":""IpPort"",""#text"":""57116""},{""@Name"":""ImpersonationLevel"",""#text"":""%%1833""},{""@Name"":""RestrictedAdminMode"",""#text"":""-""},{""@Name"":""TargetOutboundUserName"",""#text"":""-""},{""@Name"":""TargetOutboundDomainName"",""#text"":""-""},{""@Name"":""VirtualAccount"",""#text"":""%%1843""},{""@Name"":""TargetLinkedLogonId"",""#text"":""0x0""},{""@Name"":""ElevatedToken"",""#text"":""%%1842""}]}}"
13,463001,2021-04-26 08:25:36.6865623,4627,LogAlways,Microsoft-Windows-Security-Auditing,Security,584,1092,srvdefender01.offsec.lan,0,,,,,,,,,,,,False,"EVTX-to-MITRE-Attack\EVTX_full_APT_attack_steps\ID4688,5140,5145-WMIexec execution via SMB (GLOBAL).evtx",Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-0-0""},{""@Name"":""SubjectUserName"",""#text"":""-""},{""@Name"":""SubjectDomainName"",""#text"":""-""},{""@Name"":""SubjectLogonId"",""#text"":""0x0""},{""@Name"":""TargetUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""TargetUserName"",""#text"":""admmig""},{""@Name"":""TargetDomainName"",""#text"":""OFFSEC""},{""@Name"":""TargetLogonId"",""#text"":""0x4DA3273""},{""@Name"":""LogonType"",""#text"":""3""},{""@Name"":""EventIdx"",""#text"":""1""},{""@Name"":""EventCountTotal"",""#text"":""1""},{""@Name"":""GroupMembership"",""#text"":"", %{S-1-5-21-4230534742-2542757381-3142984815-513}, %{S-1-1-0}, %{S-1-5-32-545}, %{S-1-5-32-544}, %{S-1-5-2}, %{S-1-5-11}, %{S-1-5-15}, %{S-1-5-21-4230534742-2542757381-3142984815-1605}, %{S-1-5-21-4230534742-2542757381-3142984815-1613}, %{S-1-5-21-4230534742-2542757381-3142984815-1172}, %{S-1-5-21-4230534742-2542757381-3142984815-512}, %{S-1-5-21-4230534742-2542757381-3142984815-1190}, %{S-1-5-21-4230534742-2542757381-3142984815-518}, %{S-1-5-21-4230534742-2542757381-3142984815-1198}, %{S-1-5-21-4230534742-2542757381-3142984815-519}, %{S-1-5-21-4230534742-2542757381-3142984815-572}, %{S-1-5-64-10}, %{S-1-16-12288}""}]}}"
14,463002,2021-04-26 08:25:36.8527380,4964,LogAlways,Microsoft-Windows-Security-Auditing,Security,584,1092,srvdefender01.offsec.lan,0,,,,,,,,,,,,False,"EVTX-to-MITRE-Attack\EVTX_full_APT_attack_steps\ID4688,5140,5145-WMIexec execution via SMB (GLOBAL).evtx",Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-18""},{""@Name"":""SubjectUserName"",""#text"":""SRVDEFENDER01$""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x3E7""},{""@Name"":""LogonGuid"",""#text"":""00000000-0000-0000-0000-000000000000""},{""@Name"":""TargetUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""TargetUserName"",""#text"":""admmig""},{""@Name"":""TargetDomainName"",""#text"":""OFFSEC""},{""@Name"":""TargetLogonId"",""#text"":""0x4DA3292""},{""@Name"":""TargetLogonGuid"",""#text"":""00000000-0000-0000-0000-000000000000""},{""@Name"":""SidList"",""#text"":"", %{S-1-5-21-4230534742-2542757381-3142984815-1613}""}]}}"
15,463003,2021-04-26 08:25:36.8527445,4672,LogAlways,Microsoft-Windows-Security-Auditing,Security,584,1092,srvdefender01.offsec.lan,0,,Administrative logon,OFFSEC\admmig (S-1-5-21-4230534742-2542757381-3142984815-1111),,"PrivilegeList: SeSecurityPrivilege, SeBackupPrivilege, SeRestorePrivilege, SeTakeOwnershipPrivilege, SeDebugPrivilege, SeSystemEnvironmentPrivilege, SeLoadDriverPrivilege, SeImpersonatePrivilege, SeDelegateSessionUserImpersonatePrivilege",LogonId: 0x4DA3292,,,,,,False,"EVTX-to-MITRE-Attack\EVTX_full_APT_attack_steps\ID4688,5140,5145-WMIexec execution via SMB (GLOBAL).evtx",Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x4DA3292""},{""@Name"":""PrivilegeList"",""#text"":""SeSecurityPrivilege, SeBackupPrivilege, SeRestorePrivilege, SeTakeOwnershipPrivilege, SeDebugPrivilege, SeSystemEnvironmentPrivilege, SeLoadDriverPrivilege, SeImpersonatePrivilege, SeDelegateSessionUserImpersonatePrivilege""}]}}"
16,463004,2021-04-26 08:25:36.8528172,4624,LogAlways,Microsoft-Windows-Security-Auditing,Security,584,1092,srvdefender01.offsec.lan,0,,Successful logon,-\-,- (10.23.123.11),Target: OFFSEC\admmig,LogonType 3,LogonId: 0x4DA3292,AuthenticationPackageName: NTLM,"LogonProcessName: NtLmSsp ",,-,False,"EVTX-to-MITRE-Attack\EVTX_full_APT_attack_steps\ID4688,5140,5145-WMIexec execution via SMB (GLOBAL).evtx",Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-0-0""},{""@Name"":""SubjectUserName"",""#text"":""-""},{""@Name"":""SubjectDomainName"",""#text"":""-""},{""@Name"":""SubjectLogonId"",""#text"":""0x0""},{""@Name"":""TargetUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""TargetUserName"",""#text"":""admmig""},{""@Name"":""TargetDomainName"",""#text"":""OFFSEC""},{""@Name"":""TargetLogonId"",""#text"":""0x4DA3292""},{""@Name"":""LogonType"",""#text"":""3""},{""@Name"":""LogonProcessName"",""#text"":""NtLmSsp ""},{""@Name"":""AuthenticationPackageName"",""#text"":""NTLM""},{""@Name"":""WorkstationName"",""#text"":""-""},{""@Name"":""LogonGuid"",""#text"":""00000000-0000-0000-0000-000000000000""},{""@Name"":""TransmittedServices"",""#text"":""-""},{""@Name"":""LmPackageName"",""#text"":""NTLM V2""},{""@Name"":""KeyLength"",""#text"":""128""},{""@Name"":""ProcessId"",""#text"":""0x0""},{""@Name"":""ProcessName"",""#text"":""-""},{""@Name"":""IpAddress"",""#text"":""10.23.123.11""},{""@Name"":""IpPort"",""#text"":""57116""},{""@Name"":""ImpersonationLevel"",""#text"":""%%1833""},{""@Name"":""RestrictedAdminMode"",""#text"":""-""},{""@Name"":""TargetOutboundUserName"",""#text"":""-""},{""@Name"":""TargetOutboundDomainName"",""#text"":""-""},{""@Name"":""VirtualAccount"",""#text"":""%%1843""},{""@Name"":""TargetLinkedLogonId"",""#text"":""0x0""},{""@Name"":""ElevatedToken"",""#text"":""%%1842""}]}}"
17,463005,2021-04-26 08:25:36.8528471,4627,LogAlways,Microsoft-Windows-Security-Auditing,Security,584,1092,srvdefender01.offsec.lan,0,,,,,,,,,,,,False,"EVTX-to-MITRE-Attack\EVTX_full_APT_attack_steps\ID4688,5140,5145-WMIexec execution via SMB (GLOBAL).evtx",Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-0-0""},{""@Name"":""SubjectUserName"",""#text"":""-""},{""@Name"":""SubjectDomainName"",""#text"":""-""},{""@Name"":""SubjectLogonId"",""#text"":""0x0""},{""@Name"":""TargetUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""TargetUserName"",""#text"":""admmig""},{""@Name"":""TargetDomainName"",""#text"":""OFFSEC""},{""@Name"":""TargetLogonId"",""#text"":""0x4DA3292""},{""@Name"":""LogonType"",""#text"":""3""},{""@Name"":""EventIdx"",""#text"":""1""},{""@Name"":""EventCountTotal"",""#text"":""1""},{""@Name"":""GroupMembership"",""#text"":"", %{S-1-5-21-4230534742-2542757381-3142984815-513}, %{S-1-1-0}, %{S-1-5-32-545}, %{S-1-5-32-544}, %{S-1-5-2}, %{S-1-5-11}, %{S-1-5-15}, %{S-1-5-21-4230534742-2542757381-3142984815-1605}, %{S-1-5-21-4230534742-2542757381-3142984815-1613}, %{S-1-5-21-4230534742-2542757381-3142984815-1172}, %{S-1-5-21-4230534742-2542757381-3142984815-512}, %{S-1-5-21-4230534742-2542757381-3142984815-1190}, %{S-1-5-21-4230534742-2542757381-3142984815-518}, %{S-1-5-21-4230534742-2542757381-3142984815-1198}, %{S-1-5-21-4230534742-2542757381-3142984815-519}, %{S-1-5-21-4230534742-2542757381-3142984815-572}, %{S-1-5-64-10}, %{S-1-16-12288}""}]}}"
18,463006,2021-04-26 08:25:36.9136928,4964,LogAlways,Microsoft-Windows-Security-Auditing,Security,584,1092,srvdefender01.offsec.lan,0,,,,,,,,,,,,False,"EVTX-to-MITRE-Attack\EVTX_full_APT_attack_steps\ID4688,5140,5145-WMIexec execution via SMB (GLOBAL).evtx",Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-18""},{""@Name"":""SubjectUserName"",""#text"":""SRVDEFENDER01$""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x3E7""},{""@Name"":""LogonGuid"",""#text"":""00000000-0000-0000-0000-000000000000""},{""@Name"":""TargetUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""TargetUserName"",""#text"":""admmig""},{""@Name"":""TargetDomainName"",""#text"":""OFFSEC""},{""@Name"":""TargetLogonId"",""#text"":""0x4DA32AF""},{""@Name"":""TargetLogonGuid"",""#text"":""00000000-0000-0000-0000-000000000000""},{""@Name"":""SidList"",""#text"":"", %{S-1-5-21-4230534742-2542757381-3142984815-1613}""}]}}"
