RecordNumber,EventRecordId,TimeCreated,EventId,Level,Provider,Channel,ProcessId,ThreadId,Computer,ChunkNumber,UserId,MapDescription,UserName,RemoteHost,PayloadData1,PayloadData2,PayloadData3,PayloadData4,PayloadData5,PayloadData6,ExecutableInfo,HiddenRecord,SourceFile,Keywords,ExtraDataOffset,Payload
1,232254709,2021-12-02 14:48:15.9836503,4768,LogAlways,Microsoft-Windows-Security-Auditing,Security,596,2472,rootdc1.offsec.lan,0,,A Kerberos authentication ticket (TGT) was requested,,::ffff:10.23.123.11:47388,Target: OFFSEC.LAN\test1,ServiceName: krbtgt/OFFSEC.LAN,ServiceSid: S-1-0-0,TicketEncryptionType: Audit Failure,Status: KDC_ERR_C_PRINCIPAL_UNKNOWN - Client not found in Kerberos database - The username doesn't exist.,PreAuthType: This type shows in Audit Failure events.,,False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1110.xxx-Brut force\ID4768-4771-Kerberos brutforce with non existing users.evtx,Audit failure,0,"{""EventData"":{""Data"":[{""@Name"":""TargetUserName"",""#text"":""test1""},{""@Name"":""TargetDomainName"",""#text"":""OFFSEC.LAN""},{""@Name"":""TargetSid"",""#text"":""S-1-0-0""},{""@Name"":""ServiceName"",""#text"":""krbtgt/OFFSEC.LAN""},{""@Name"":""ServiceSid"",""#text"":""S-1-0-0""},{""@Name"":""TicketOptions"",""#text"":""0x50800000""},{""@Name"":""Status"",""#text"":""0x6""},{""@Name"":""TicketEncryptionType"",""#text"":""0xFFFFFFFF""},{""@Name"":""PreAuthType"",""#text"":""-""},{""@Name"":""IpAddress"",""#text"":""::ffff:10.23.123.11""},{""@Name"":""IpPort"",""#text"":""47388""},{""@Name"":""CertIssuerName""},{""@Name"":""CertSerialNumber""},{""@Name"":""CertThumbprint""}]}}"
2,232254710,2021-12-02 14:48:16.2984392,4768,LogAlways,Microsoft-Windows-Security-Auditing,Security,596,3076,rootdc1.offsec.lan,0,,A Kerberos authentication ticket (TGT) was requested,,::ffff:10.23.123.11:47392,Target: OFFSEC.LAN\admmig,ServiceName: krbtgt,ServiceSid: S-1-5-21-4230534742-2542757381-3142984815-502,TicketEncryptionType: AES256-CTS-HMAC-SHA1-96,Status: KDC_ERR_NONE - No error - No errors were found.,PreAuthType: PA-ENC-TIMESTAMP - This type is normal for standard password authentication.,,False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1110.xxx-Brut force\ID4768-4771-Kerberos brutforce with non existing users.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""TargetUserName"",""#text"":""admmig""},{""@Name"":""TargetDomainName"",""#text"":""OFFSEC.LAN""},{""@Name"":""TargetSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""ServiceName"",""#text"":""krbtgt""},{""@Name"":""ServiceSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-502""},{""@Name"":""TicketOptions"",""#text"":""0x50800000""},{""@Name"":""Status"",""#text"":""0x0""},{""@Name"":""TicketEncryptionType"",""#text"":""0x12""},{""@Name"":""PreAuthType"",""#text"":""2""},{""@Name"":""IpAddress"",""#text"":""::ffff:10.23.123.11""},{""@Name"":""IpPort"",""#text"":""47392""},{""@Name"":""CertIssuerName""},{""@Name"":""CertSerialNumber""},{""@Name"":""CertThumbprint""}]}}"
3,232254711,2021-12-02 14:48:16.3082922,4768,LogAlways,Microsoft-Windows-Security-Auditing,Security,596,2472,rootdc1.offsec.lan,0,,A Kerberos authentication ticket (TGT) was requested,,::ffff:10.23.123.11:47394,Target: OFFSEC.LAN\test2,ServiceName: krbtgt/OFFSEC.LAN,ServiceSid: S-1-0-0,TicketEncryptionType: Audit Failure,Status: KDC_ERR_C_PRINCIPAL_UNKNOWN - Client not found in Kerberos database - The username doesn't exist.,PreAuthType: This type shows in Audit Failure events.,,False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1110.xxx-Brut force\ID4768-4771-Kerberos brutforce with non existing users.evtx,Audit failure,0,"{""EventData"":{""Data"":[{""@Name"":""TargetUserName"",""#text"":""test2""},{""@Name"":""TargetDomainName"",""#text"":""OFFSEC.LAN""},{""@Name"":""TargetSid"",""#text"":""S-1-0-0""},{""@Name"":""ServiceName"",""#text"":""krbtgt/OFFSEC.LAN""},{""@Name"":""ServiceSid"",""#text"":""S-1-0-0""},{""@Name"":""TicketOptions"",""#text"":""0x50800000""},{""@Name"":""Status"",""#text"":""0x6""},{""@Name"":""TicketEncryptionType"",""#text"":""0xFFFFFFFF""},{""@Name"":""PreAuthType"",""#text"":""-""},{""@Name"":""IpAddress"",""#text"":""::ffff:10.23.123.11""},{""@Name"":""IpPort"",""#text"":""47394""},{""@Name"":""CertIssuerName""},{""@Name"":""CertSerialNumber""},{""@Name"":""CertThumbprint""}]}}"
4,232254712,2021-12-02 14:48:16.3113249,4768,LogAlways,Microsoft-Windows-Security-Auditing,Security,596,2656,rootdc1.offsec.lan,0,,A Kerberos authentication ticket (TGT) was requested,,::ffff:10.23.123.11:47396,Target: OFFSEC.LAN\admtest,ServiceName: krbtgt/OFFSEC.LAN,ServiceSid: S-1-0-0,TicketEncryptionType: Audit Failure,Status: KDC_ERR_C_PRINCIPAL_UNKNOWN - Client not found in Kerberos database - The username doesn't exist.,PreAuthType: This type shows in Audit Failure events.,,False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1110.xxx-Brut force\ID4768-4771-Kerberos brutforce with non existing users.evtx,Audit failure,0,"{""EventData"":{""Data"":[{""@Name"":""TargetUserName"",""#text"":""admtest""},{""@Name"":""TargetDomainName"",""#text"":""OFFSEC.LAN""},{""@Name"":""TargetSid"",""#text"":""S-1-0-0""},{""@Name"":""ServiceName"",""#text"":""krbtgt/OFFSEC.LAN""},{""@Name"":""ServiceSid"",""#text"":""S-1-0-0""},{""@Name"":""TicketOptions"",""#text"":""0x50800000""},{""@Name"":""Status"",""#text"":""0x6""},{""@Name"":""TicketEncryptionType"",""#text"":""0xFFFFFFFF""},{""@Name"":""PreAuthType"",""#text"":""-""},{""@Name"":""IpAddress"",""#text"":""::ffff:10.23.123.11""},{""@Name"":""IpPort"",""#text"":""47396""},{""@Name"":""CertIssuerName""},{""@Name"":""CertSerialNumber""},{""@Name"":""CertThumbprint""}]}}"
5,232254713,2021-12-02 14:48:16.3384467,4768,LogAlways,Microsoft-Windows-Security-Auditing,Security,596,2656,rootdc1.offsec.lan,0,,A Kerberos authentication ticket (TGT) was requested,,::ffff:10.23.123.11:47398,Target: OFFSEC.LAN\administrator,ServiceName: krbtgt/OFFSEC.LAN,ServiceSid: S-1-0-0,TicketEncryptionType: Audit Failure,"Status: KDC_ERR_CLIENT_REVOKED - Client's credentials have been revoked - This might be because of an explicit disabling or because of other restrictions in place on the account. For example, account disabled, expired, or locked out.",PreAuthType: This type shows in Audit Failure events.,,False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1110.xxx-Brut force\ID4768-4771-Kerberos brutforce with non existing users.evtx,Audit failure,0,"{""EventData"":{""Data"":[{""@Name"":""TargetUserName"",""#text"":""administrator""},{""@Name"":""TargetDomainName"",""#text"":""OFFSEC.LAN""},{""@Name"":""TargetSid"",""#text"":""S-1-0-0""},{""@Name"":""ServiceName"",""#text"":""krbtgt/OFFSEC.LAN""},{""@Name"":""ServiceSid"",""#text"":""S-1-0-0""},{""@Name"":""TicketOptions"",""#text"":""0x50800000""},{""@Name"":""Status"",""#text"":""0x12""},{""@Name"":""TicketEncryptionType"",""#text"":""0xFFFFFFFF""},{""@Name"":""PreAuthType"",""#text"":""-""},{""@Name"":""IpAddress"",""#text"":""::ffff:10.23.123.11""},{""@Name"":""IpPort"",""#text"":""47398""},{""@Name"":""CertIssuerName""},{""@Name"":""CertSerialNumber""},{""@Name"":""CertThumbprint""}]}}"
6,232254714,2021-12-02 14:48:16.3427665,4768,LogAlways,Microsoft-Windows-Security-Auditing,Security,596,3076,rootdc1.offsec.lan,0,,A Kerberos authentication ticket (TGT) was requested,,::ffff:10.23.123.11:47400,Target: OFFSEC.LAN\admin-test,ServiceName: krbtgt,ServiceSid: S-1-5-21-4230534742-2542757381-3142984815-502,TicketEncryptionType: AES256-CTS-HMAC-SHA1-96,Status: KDC_ERR_NONE - No error - No errors were found.,PreAuthType: Logon without Pre-Authentication.,,False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1110.xxx-Brut force\ID4768-4771-Kerberos brutforce with non existing users.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""TargetUserName"",""#text"":""admin-test""},{""@Name"":""TargetDomainName"",""#text"":""OFFSEC.LAN""},{""@Name"":""TargetSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1620""},{""@Name"":""ServiceName"",""#text"":""krbtgt""},{""@Name"":""ServiceSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-502""},{""@Name"":""TicketOptions"",""#text"":""0x50800000""},{""@Name"":""Status"",""#text"":""0x0""},{""@Name"":""TicketEncryptionType"",""#text"":""0x12""},{""@Name"":""PreAuthType"",""#text"":""0""},{""@Name"":""IpAddress"",""#text"":""::ffff:10.23.123.11""},{""@Name"":""IpPort"",""#text"":""47400""},{""@Name"":""CertIssuerName""},{""@Name"":""CertSerialNumber""},{""@Name"":""CertThumbprint""}]}}"
7,232254715,2021-12-02 14:48:16.9565971,4771,LogAlways,Microsoft-Windows-Security-Auditing,Security,596,3076,rootdc1.offsec.lan,0,,Kerberos pre-authentication failed,,::ffff:10.23.123.11:47404,Target: admin-hacker (S-1-5-21-4230534742-2542757381-3142984815-1147),ServiceName: krbtgt/OFFSEC.LAN,Status: KDC_ERR_PREAUTH_FAILED - Pre-authentication information was invalid - The wrong password was provided.,PreAuthType: PA-ENC-TIMESTAMP - This type is normal for standard password authentication.,,,,False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1110.xxx-Brut force\ID4768-4771-Kerberos brutforce with non existing users.evtx,Audit failure,0,"{""EventData"":{""Data"":[{""@Name"":""TargetUserName"",""#text"":""admin-hacker""},{""@Name"":""TargetSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1147""},{""@Name"":""ServiceName"",""#text"":""krbtgt/OFFSEC.LAN""},{""@Name"":""TicketOptions"",""#text"":""0x50800000""},{""@Name"":""Status"",""#text"":""0x18""},{""@Name"":""PreAuthType"",""#text"":""2""},{""@Name"":""IpAddress"",""#text"":""::ffff:10.23.123.11""},{""@Name"":""IpPort"",""#text"":""47404""},{""@Name"":""CertIssuerName""},{""@Name"":""CertSerialNumber""},{""@Name"":""CertThumbprint""}]}}"
8,232254720,2021-12-02 14:48:17.2634254,4771,LogAlways,Microsoft-Windows-Security-Auditing,Security,596,2472,rootdc1.offsec.lan,0,,Kerberos pre-authentication failed,,::ffff:10.23.123.11:47408,Target: adminupn42 (S-1-5-21-4230534742-2542757381-3142984815-1239),ServiceName: krbtgt/OFFSEC.LAN,Status: KDC_ERR_PREAUTH_FAILED - Pre-authentication information was invalid - The wrong password was provided.,PreAuthType: PA-ENC-TIMESTAMP - This type is normal for standard password authentication.,,,,False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1110.xxx-Brut force\ID4768-4771-Kerberos brutforce with non existing users.evtx,Audit failure,0,"{""EventData"":{""Data"":[{""@Name"":""TargetUserName"",""#text"":""adminupn42""},{""@Name"":""TargetSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1239""},{""@Name"":""ServiceName"",""#text"":""krbtgt/OFFSEC.LAN""},{""@Name"":""TicketOptions"",""#text"":""0x50800000""},{""@Name"":""Status"",""#text"":""0x18""},{""@Name"":""PreAuthType"",""#text"":""2""},{""@Name"":""IpAddress"",""#text"":""::ffff:10.23.123.11""},{""@Name"":""IpPort"",""#text"":""47408""},{""@Name"":""CertIssuerName""},{""@Name"":""CertSerialNumber""},{""@Name"":""CertThumbprint""}]}}"
9,232254721,2021-12-02 14:48:17.2672345,4768,LogAlways,Microsoft-Windows-Security-Auditing,Security,596,2656,rootdc1.offsec.lan,0,,A Kerberos authentication ticket (TGT) was requested,,::ffff:10.23.123.11:47410,Target: OFFSEC.LAN\sgfg,ServiceName: krbtgt/OFFSEC.LAN,ServiceSid: S-1-0-0,TicketEncryptionType: Audit Failure,Status: KDC_ERR_C_PRINCIPAL_UNKNOWN - Client not found in Kerberos database - The username doesn't exist.,PreAuthType: This type shows in Audit Failure events.,,False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1110.xxx-Brut force\ID4768-4771-Kerberos brutforce with non existing users.evtx,Audit failure,0,"{""EventData"":{""Data"":[{""@Name"":""TargetUserName"",""#text"":""sgfg""},{""@Name"":""TargetDomainName"",""#text"":""OFFSEC.LAN""},{""@Name"":""TargetSid"",""#text"":""S-1-0-0""},{""@Name"":""ServiceName"",""#text"":""krbtgt/OFFSEC.LAN""},{""@Name"":""ServiceSid"",""#text"":""S-1-0-0""},{""@Name"":""TicketOptions"",""#text"":""0x50800000""},{""@Name"":""Status"",""#text"":""0x6""},{""@Name"":""TicketEncryptionType"",""#text"":""0xFFFFFFFF""},{""@Name"":""PreAuthType"",""#text"":""-""},{""@Name"":""IpAddress"",""#text"":""::ffff:10.23.123.11""},{""@Name"":""IpPort"",""#text"":""47410""},{""@Name"":""CertIssuerName""},{""@Name"":""CertSerialNumber""},{""@Name"":""CertThumbprint""}]}}"
10,232254722,2021-12-02 14:48:17.2711516,4768,LogAlways,Microsoft-Windows-Security-Auditing,Security,596,2472,rootdc1.offsec.lan,0,,A Kerberos authentication ticket (TGT) was requested,,::ffff:10.23.123.11:47412,Target: OFFSEC.LAN\g,ServiceName: krbtgt/OFFSEC.LAN,ServiceSid: S-1-0-0,TicketEncryptionType: Audit Failure,Status: KDC_ERR_C_PRINCIPAL_UNKNOWN - Client not found in Kerberos database - The username doesn't exist.,PreAuthType: This type shows in Audit Failure events.,,False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1110.xxx-Brut force\ID4768-4771-Kerberos brutforce with non existing users.evtx,Audit failure,0,"{""EventData"":{""Data"":[{""@Name"":""TargetUserName"",""#text"":""g""},{""@Name"":""TargetDomainName"",""#text"":""OFFSEC.LAN""},{""@Name"":""TargetSid"",""#text"":""S-1-0-0""},{""@Name"":""ServiceName"",""#text"":""krbtgt/OFFSEC.LAN""},{""@Name"":""ServiceSid"",""#text"":""S-1-0-0""},{""@Name"":""TicketOptions"",""#text"":""0x50800000""},{""@Name"":""Status"",""#text"":""0x6""},{""@Name"":""TicketEncryptionType"",""#text"":""0xFFFFFFFF""},{""@Name"":""PreAuthType"",""#text"":""-""},{""@Name"":""IpAddress"",""#text"":""::ffff:10.23.123.11""},{""@Name"":""IpPort"",""#text"":""47412""},{""@Name"":""CertIssuerName""},{""@Name"":""CertSerialNumber""},{""@Name"":""CertThumbprint""}]}}"
11,232254723,2021-12-02 14:48:17.2741200,4768,LogAlways,Microsoft-Windows-Security-Auditing,Security,596,2656,rootdc1.offsec.lan,0,,A Kerberos authentication ticket (TGT) was requested,,::ffff:10.23.123.11:47414,Target: OFFSEC.LAN\dyfgdhbn,ServiceName: krbtgt/OFFSEC.LAN,ServiceSid: S-1-0-0,TicketEncryptionType: Audit Failure,Status: KDC_ERR_C_PRINCIPAL_UNKNOWN - Client not found in Kerberos database - The username doesn't exist.,PreAuthType: This type shows in Audit Failure events.,,False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1110.xxx-Brut force\ID4768-4771-Kerberos brutforce with non existing users.evtx,Audit failure,0,"{""EventData"":{""Data"":[{""@Name"":""TargetUserName"",""#text"":""dyfgdhbn""},{""@Name"":""TargetDomainName"",""#text"":""OFFSEC.LAN""},{""@Name"":""TargetSid"",""#text"":""S-1-0-0""},{""@Name"":""ServiceName"",""#text"":""krbtgt/OFFSEC.LAN""},{""@Name"":""ServiceSid"",""#text"":""S-1-0-0""},{""@Name"":""TicketOptions"",""#text"":""0x50800000""},{""@Name"":""Status"",""#text"":""0x6""},{""@Name"":""TicketEncryptionType"",""#text"":""0xFFFFFFFF""},{""@Name"":""PreAuthType"",""#text"":""-""},{""@Name"":""IpAddress"",""#text"":""::ffff:10.23.123.11""},{""@Name"":""IpPort"",""#text"":""47414""},{""@Name"":""CertIssuerName""},{""@Name"":""CertSerialNumber""},{""@Name"":""CertThumbprint""}]}}"
12,232254724,2021-12-02 14:48:17.2773475,4768,LogAlways,Microsoft-Windows-Security-Auditing,Security,596,2472,rootdc1.offsec.lan,0,,A Kerberos authentication ticket (TGT) was requested,,::ffff:10.23.123.11:47416,Target: OFFSEC.LAN\xvtrz,ServiceName: krbtgt/OFFSEC.LAN,ServiceSid: S-1-0-0,TicketEncryptionType: Audit Failure,Status: KDC_ERR_C_PRINCIPAL_UNKNOWN - Client not found in Kerberos database - The username doesn't exist.,PreAuthType: This type shows in Audit Failure events.,,False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1110.xxx-Brut force\ID4768-4771-Kerberos brutforce with non existing users.evtx,Audit failure,0,"{""EventData"":{""Data"":[{""@Name"":""TargetUserName"",""#text"":""xvtrz""},{""@Name"":""TargetDomainName"",""#text"":""OFFSEC.LAN""},{""@Name"":""TargetSid"",""#text"":""S-1-0-0""},{""@Name"":""ServiceName"",""#text"":""krbtgt/OFFSEC.LAN""},{""@Name"":""ServiceSid"",""#text"":""S-1-0-0""},{""@Name"":""TicketOptions"",""#text"":""0x50800000""},{""@Name"":""Status"",""#text"":""0x6""},{""@Name"":""TicketEncryptionType"",""#text"":""0xFFFFFFFF""},{""@Name"":""PreAuthType"",""#text"":""-""},{""@Name"":""IpAddress"",""#text"":""::ffff:10.23.123.11""},{""@Name"":""IpPort"",""#text"":""47416""},{""@Name"":""CertIssuerName""},{""@Name"":""CertSerialNumber""},{""@Name"":""CertThumbprint""}]}}"
13,232254725,2021-12-02 14:48:17.2810759,4768,LogAlways,Microsoft-Windows-Security-Auditing,Security,596,2472,rootdc1.offsec.lan,0,,A Kerberos authentication ticket (TGT) was requested,,::ffff:10.23.123.11:47418,Target: OFFSEC.LAN\ar,ServiceName: krbtgt/OFFSEC.LAN,ServiceSid: S-1-0-0,TicketEncryptionType: Audit Failure,Status: KDC_ERR_C_PRINCIPAL_UNKNOWN - Client not found in Kerberos database - The username doesn't exist.,PreAuthType: This type shows in Audit Failure events.,,False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1110.xxx-Brut force\ID4768-4771-Kerberos brutforce with non existing users.evtx,Audit failure,0,"{""EventData"":{""Data"":[{""@Name"":""TargetUserName"",""#text"":""ar""},{""@Name"":""TargetDomainName"",""#text"":""OFFSEC.LAN""},{""@Name"":""TargetSid"",""#text"":""S-1-0-0""},{""@Name"":""ServiceName"",""#text"":""krbtgt/OFFSEC.LAN""},{""@Name"":""ServiceSid"",""#text"":""S-1-0-0""},{""@Name"":""TicketOptions"",""#text"":""0x50800000""},{""@Name"":""Status"",""#text"":""0x6""},{""@Name"":""TicketEncryptionType"",""#text"":""0xFFFFFFFF""},{""@Name"":""PreAuthType"",""#text"":""-""},{""@Name"":""IpAddress"",""#text"":""::ffff:10.23.123.11""},{""@Name"":""IpPort"",""#text"":""47418""},{""@Name"":""CertIssuerName""},{""@Name"":""CertSerialNumber""},{""@Name"":""CertThumbprint""}]}}"
14,232254726,2021-12-02 14:48:17.2842162,4768,LogAlways,Microsoft-Windows-Security-Auditing,Security,596,2784,rootdc1.offsec.lan,0,,A Kerberos authentication ticket (TGT) was requested,,::ffff:10.23.123.11:47420,Target: OFFSEC.LAN\tary,ServiceName: krbtgt/OFFSEC.LAN,ServiceSid: S-1-0-0,TicketEncryptionType: Audit Failure,Status: KDC_ERR_C_PRINCIPAL_UNKNOWN - Client not found in Kerberos database - The username doesn't exist.,PreAuthType: This type shows in Audit Failure events.,,False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1110.xxx-Brut force\ID4768-4771-Kerberos brutforce with non existing users.evtx,Audit failure,0,"{""EventData"":{""Data"":[{""@Name"":""TargetUserName"",""#text"":""tary""},{""@Name"":""TargetDomainName"",""#text"":""OFFSEC.LAN""},{""@Name"":""TargetSid"",""#text"":""S-1-0-0""},{""@Name"":""ServiceName"",""#text"":""krbtgt/OFFSEC.LAN""},{""@Name"":""ServiceSid"",""#text"":""S-1-0-0""},{""@Name"":""TicketOptions"",""#text"":""0x50800000""},{""@Name"":""Status"",""#text"":""0x6""},{""@Name"":""TicketEncryptionType"",""#text"":""0xFFFFFFFF""},{""@Name"":""PreAuthType"",""#text"":""-""},{""@Name"":""IpAddress"",""#text"":""::ffff:10.23.123.11""},{""@Name"":""IpPort"",""#text"":""47420""},{""@Name"":""CertIssuerName""},{""@Name"":""CertSerialNumber""},{""@Name"":""CertThumbprint""}]}}"
15,232254727,2021-12-02 14:48:17.2871534,4768,LogAlways,Microsoft-Windows-Security-Auditing,Security,596,2784,rootdc1.offsec.lan,0,,A Kerberos authentication ticket (TGT) was requested,,::ffff:10.23.123.11:47422,Target: OFFSEC.LAN\bsfin,ServiceName: krbtgt/OFFSEC.LAN,ServiceSid: S-1-0-0,TicketEncryptionType: Audit Failure,Status: KDC_ERR_C_PRINCIPAL_UNKNOWN - Client not found in Kerberos database - The username doesn't exist.,PreAuthType: This type shows in Audit Failure events.,,False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1110.xxx-Brut force\ID4768-4771-Kerberos brutforce with non existing users.evtx,Audit failure,0,"{""EventData"":{""Data"":[{""@Name"":""TargetUserName"",""#text"":""bsfin""},{""@Name"":""TargetDomainName"",""#text"":""OFFSEC.LAN""},{""@Name"":""TargetSid"",""#text"":""S-1-0-0""},{""@Name"":""ServiceName"",""#text"":""krbtgt/OFFSEC.LAN""},{""@Name"":""ServiceSid"",""#text"":""S-1-0-0""},{""@Name"":""TicketOptions"",""#text"":""0x50800000""},{""@Name"":""Status"",""#text"":""0x6""},{""@Name"":""TicketEncryptionType"",""#text"":""0xFFFFFFFF""},{""@Name"":""PreAuthType"",""#text"":""-""},{""@Name"":""IpAddress"",""#text"":""::ffff:10.23.123.11""},{""@Name"":""IpPort"",""#text"":""47422""},{""@Name"":""CertIssuerName""},{""@Name"":""CertSerialNumber""},{""@Name"":""CertThumbprint""}]}}"
16,232254728,2021-12-02 14:48:17.3193889,4768,LogAlways,Microsoft-Windows-Security-Auditing,Security,596,2472,rootdc1.offsec.lan,0,,A Kerberos authentication ticket (TGT) was requested,,::ffff:10.23.123.11:47424,Target: OFFSEC.LAN\mgdi,ServiceName: krbtgt/OFFSEC.LAN,ServiceSid: S-1-0-0,TicketEncryptionType: Audit Failure,Status: KDC_ERR_C_PRINCIPAL_UNKNOWN - Client not found in Kerberos database - The username doesn't exist.,PreAuthType: This type shows in Audit Failure events.,,False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1110.xxx-Brut force\ID4768-4771-Kerberos brutforce with non existing users.evtx,Audit failure,0,"{""EventData"":{""Data"":[{""@Name"":""TargetUserName"",""#text"":""mgdi""},{""@Name"":""TargetDomainName"",""#text"":""OFFSEC.LAN""},{""@Name"":""TargetSid"",""#text"":""S-1-0-0""},{""@Name"":""ServiceName"",""#text"":""krbtgt/OFFSEC.LAN""},{""@Name"":""ServiceSid"",""#text"":""S-1-0-0""},{""@Name"":""TicketOptions"",""#text"":""0x50800000""},{""@Name"":""Status"",""#text"":""0x6""},{""@Name"":""TicketEncryptionType"",""#text"":""0xFFFFFFFF""},{""@Name"":""PreAuthType"",""#text"":""-""},{""@Name"":""IpAddress"",""#text"":""::ffff:10.23.123.11""},{""@Name"":""IpPort"",""#text"":""47424""},{""@Name"":""CertIssuerName""},{""@Name"":""CertSerialNumber""},{""@Name"":""CertThumbprint""}]}}"
17,232254729,2021-12-02 14:48:17.3237384,4768,LogAlways,Microsoft-Windows-Security-Auditing,Security,596,2784,rootdc1.offsec.lan,0,,A Kerberos authentication ticket (TGT) was requested,,::ffff:10.23.123.11:47426,Target: OFFSEC.LAN\vdr,ServiceName: krbtgt/OFFSEC.LAN,ServiceSid: S-1-0-0,TicketEncryptionType: Audit Failure,Status: KDC_ERR_C_PRINCIPAL_UNKNOWN - Client not found in Kerberos database - The username doesn't exist.,PreAuthType: This type shows in Audit Failure events.,,False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1110.xxx-Brut force\ID4768-4771-Kerberos brutforce with non existing users.evtx,Audit failure,0,"{""EventData"":{""Data"":[{""@Name"":""TargetUserName"",""#text"":""vdr""},{""@Name"":""TargetDomainName"",""#text"":""OFFSEC.LAN""},{""@Name"":""TargetSid"",""#text"":""S-1-0-0""},{""@Name"":""ServiceName"",""#text"":""krbtgt/OFFSEC.LAN""},{""@Name"":""ServiceSid"",""#text"":""S-1-0-0""},{""@Name"":""TicketOptions"",""#text"":""0x50800000""},{""@Name"":""Status"",""#text"":""0x6""},{""@Name"":""TicketEncryptionType"",""#text"":""0xFFFFFFFF""},{""@Name"":""PreAuthType"",""#text"":""-""},{""@Name"":""IpAddress"",""#text"":""::ffff:10.23.123.11""},{""@Name"":""IpPort"",""#text"":""47426""},{""@Name"":""CertIssuerName""},{""@Name"":""CertSerialNumber""},{""@Name"":""CertThumbprint""}]}}"
18,232254730,2021-12-02 14:48:17.3277255,4768,LogAlways,Microsoft-Windows-Security-Auditing,Security,596,2784,rootdc1.offsec.lan,0,,A Kerberos authentication ticket (TGT) was requested,,::ffff:10.23.123.11:47428,Target: OFFSEC.LAN\tc,ServiceName: krbtgt/OFFSEC.LAN,ServiceSid: S-1-0-0,TicketEncryptionType: Audit Failure,Status: KDC_ERR_C_PRINCIPAL_UNKNOWN - Client not found in Kerberos database - The username doesn't exist.,PreAuthType: This type shows in Audit Failure events.,,False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1110.xxx-Brut force\ID4768-4771-Kerberos brutforce with non existing users.evtx,Audit failure,0,"{""EventData"":{""Data"":[{""@Name"":""TargetUserName"",""#text"":""tc""},{""@Name"":""TargetDomainName"",""#text"":""OFFSEC.LAN""},{""@Name"":""TargetSid"",""#text"":""S-1-0-0""},{""@Name"":""ServiceName"",""#text"":""krbtgt/OFFSEC.LAN""},{""@Name"":""ServiceSid"",""#text"":""S-1-0-0""},{""@Name"":""TicketOptions"",""#text"":""0x50800000""},{""@Name"":""Status"",""#text"":""0x6""},{""@Name"":""TicketEncryptionType"",""#text"":""0xFFFFFFFF""},{""@Name"":""PreAuthType"",""#text"":""-""},{""@Name"":""IpAddress"",""#text"":""::ffff:10.23.123.11""},{""@Name"":""IpPort"",""#text"":""47428""},{""@Name"":""CertIssuerName""},{""@Name"":""CertSerialNumber""},{""@Name"":""CertThumbprint""}]}}"
