RecordNumber,EventRecordId,TimeCreated,EventId,Level,Provider,Channel,ProcessId,ThreadId,Computer,ChunkNumber,UserId,MapDescription,UserName,RemoteHost,PayloadData1,PayloadData2,PayloadData3,PayloadData4,PayloadData5,PayloadData6,ExecutableInfo,HiddenRecord,SourceFile,Keywords,ExtraDataOffset,Payload
1,16014,2021-01-30 09:13:13.3098670,4104,Verbose,Microsoft-Windows-PowerShell,Microsoft-Windows-PowerShell/Operational,3432,3556,fs02.offsec.lan,0,S-1-5-21-4230534742-2542757381-3142984815-1111,Contains contents of scripts run,,,"Path: ",ScriptBlockText: $SPNName = 'MSSQLSvc/Svc-SQL-DB01.offsec.lan',,,,,,False,EVTX-to-MITRE-Attack\TA0007-Discovery\T1087-Account discovery\ID4103-4104 - SPN discovery (moder nPowerShell).evtx,0x0,0,"{""EventData"":{""Data"":[{""@Name"":""MessageNumber"",""#text"":""1""},{""@Name"":""MessageTotal"",""#text"":""1""},{""@Name"":""ScriptBlockText"",""#text"":""$SPNName = 'MSSQLSvc/Svc-SQL-DB01.offsec.lan'""},{""@Name"":""ScriptBlockId"",""#text"":""914cf92f-b992-4c8a-a966-70366d0ecd57""}]}}"
2,16015,2021-01-30 09:13:13.3098670,4103,Info,Microsoft-Windows-PowerShell,Microsoft-Windows-PowerShell/Operational,3432,3556,fs02.offsec.lan,0,S-1-5-21-4230534742-2542757381-3142984815-1111,Pipeline executed,"        Severity = Informational,         Host Name = ConsoleHost,         Host Version = 4.0,         Host ID = 7f6359d5-da68-4ff5-8b7e-f3393366b020,         Host Application = C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,         Engine Version = 4.0,         Runspace ID = c8166557-78a4-43a8-843d-dffbe24fa1ab,         Pipeline ID = 56,         Command Name = ,         Command Type = Script,         Script Name = ,         Command Path = ,         Sequence Number = 392,         User = OFFSEC\admmig,         Shell ID = Microsoft.PowerShell, ",,"Command Name: ",Host Application = C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,"Script Name: ","ConnectedUser:         Severity = Informational,         Host Name = ConsoleHost,         Host Version = 4.0,         Host ID = 7f6359d5-da68-4ff5-8b7e-f3393366b020,         Host Application = C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,         Engine Version = 4.0,         Runspace ID = c8166557-78a4-43a8-843d-dffbe24fa1ab,         Pipeline ID = 56,         Command Name = ,         Command Type = Script,         Script Name = ,         Command Path = ,         Sequence Number = 392,         User = OFFSEC\admmig,         Shell ID = Microsoft.PowerShell, ",Host Name: ConsoleHost,"Payload: CommandInvocation(Out-Default): ""Out-Default"", ",,False,EVTX-to-MITRE-Attack\TA0007-Discovery\T1087-Account discovery\ID4103-4104 - SPN discovery (moder nPowerShell).evtx,0x0,0,"{""EventData"":{""Data"":[{""@Name"":""ContextInfo"",""#text"":""        Severity = Informational,         Host Name = ConsoleHost,         Host Version = 4.0,         Host ID = 7f6359d5-da68-4ff5-8b7e-f3393366b020,         Host Application = C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe,         Engine Version = 4.0,         Runspace ID = c8166557-78a4-43a8-843d-dffbe24fa1ab,         Pipeline ID = 56,         Command Name = ,         Command Type = Script,         Script Name = ,         Command Path = ,         Sequence Number = 392,         User = OFFSEC\\admmig,         Shell ID = Microsoft.PowerShell, ""},{""@Name"":""UserData""},{""@Name"":""Payload"",""#text"":""CommandInvocation(Out-Default): \""Out-Default\"", ""}]}}"
3,16016,2021-01-30 09:13:13.3098670,4104,Verbose,Microsoft-Windows-PowerShell,Microsoft-Windows-PowerShell/Operational,3432,3556,fs02.offsec.lan,0,S-1-5-21-4230534742-2542757381-3142984815-1111,Contains contents of scripts run,,,"Path: ",ScriptBlockText: prompt,,,,,,False,EVTX-to-MITRE-Attack\TA0007-Discovery\T1087-Account discovery\ID4103-4104 - SPN discovery (moder nPowerShell).evtx,0x0,0,"{""EventData"":{""Data"":[{""@Name"":""MessageNumber"",""#text"":""1""},{""@Name"":""MessageTotal"",""#text"":""1""},{""@Name"":""ScriptBlockText"",""#text"":""prompt""},{""@Name"":""ScriptBlockId"",""#text"":""e7e67a77-a895-4caa-9736-3c8dda7c9223""}]}}"
4,16017,2021-01-30 09:13:13.3098670,4104,Verbose,Microsoft-Windows-PowerShell,Microsoft-Windows-PowerShell/Operational,3432,3556,fs02.offsec.lan,0,S-1-5-21-4230534742-2542757381-3142984815-1111,Contains contents of scripts run,,,"Path: ",ScriptBlockText: Add-Type -AssemblyNAme System.IdentityModel,,,,,,False,EVTX-to-MITRE-Attack\TA0007-Discovery\T1087-Account discovery\ID4103-4104 - SPN discovery (moder nPowerShell).evtx,0x0,0,"{""EventData"":{""Data"":[{""@Name"":""MessageNumber"",""#text"":""1""},{""@Name"":""MessageTotal"",""#text"":""1""},{""@Name"":""ScriptBlockText"",""#text"":""Add-Type -AssemblyNAme System.IdentityModel""},{""@Name"":""ScriptBlockId"",""#text"":""e4e56c3a-b31e-459e-b2a3-a338f3bfea44""}]}}"
5,16018,2021-01-30 09:13:13.3098670,4103,Info,Microsoft-Windows-PowerShell,Microsoft-Windows-PowerShell/Operational,3432,3556,fs02.offsec.lan,0,S-1-5-21-4230534742-2542757381-3142984815-1111,Pipeline executed,"        Severity = Informational,         Host Name = ConsoleHost,         Host Version = 4.0,         Host ID = 7f6359d5-da68-4ff5-8b7e-f3393366b020,         Host Application = C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,         Engine Version = 4.0,         Runspace ID = c8166557-78a4-43a8-843d-dffbe24fa1ab,         Pipeline ID = 58,         Command Name = Add-Type,         Command Type = Cmdlet,         Script Name = ,         Command Path = ,         Sequence Number = 394,         User = OFFSEC\admmig,         Shell ID = Microsoft.PowerShell, ",,Command Name: Add-Type,Host Application = C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,"Script Name: ","ConnectedUser:         Severity = Informational,         Host Name = ConsoleHost,         Host Version = 4.0,         Host ID = 7f6359d5-da68-4ff5-8b7e-f3393366b020,         Host Application = C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,         Engine Version = 4.0,         Runspace ID = c8166557-78a4-43a8-843d-dffbe24fa1ab,         Pipeline ID = 58,         Command Name = Add-Type,         Command Type = Cmdlet,         Script Name = ,         Command Path = ,         Sequence Number = 394,         User = OFFSEC\admmig,         Shell ID = Microsoft.PowerShell, ",Host Name: ConsoleHost,"Payload: CommandInvocation(Add-Type): ""Add-Type"", ParameterBinding(Add-Type): name=""AssemblyName""; value=""System.IdentityModel"", ",,False,EVTX-to-MITRE-Attack\TA0007-Discovery\T1087-Account discovery\ID4103-4104 - SPN discovery (moder nPowerShell).evtx,0x0,0,"{""EventData"":{""Data"":[{""@Name"":""ContextInfo"",""#text"":""        Severity = Informational,         Host Name = ConsoleHost,         Host Version = 4.0,         Host ID = 7f6359d5-da68-4ff5-8b7e-f3393366b020,         Host Application = C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe,         Engine Version = 4.0,         Runspace ID = c8166557-78a4-43a8-843d-dffbe24fa1ab,         Pipeline ID = 58,         Command Name = Add-Type,         Command Type = Cmdlet,         Script Name = ,         Command Path = ,         Sequence Number = 394,         User = OFFSEC\\admmig,         Shell ID = Microsoft.PowerShell, ""},{""@Name"":""UserData""},{""@Name"":""Payload"",""#text"":""CommandInvocation(Add-Type): \""Add-Type\"", ParameterBinding(Add-Type): name=\""AssemblyName\""; value=\""System.IdentityModel\"", ""}]}}"
6,16019,2021-01-30 09:13:13.3098670,4103,Info,Microsoft-Windows-PowerShell,Microsoft-Windows-PowerShell/Operational,3432,3556,fs02.offsec.lan,0,S-1-5-21-4230534742-2542757381-3142984815-1111,Pipeline executed,"        Severity = Informational,         Host Name = ConsoleHost,         Host Version = 4.0,         Host ID = 7f6359d5-da68-4ff5-8b7e-f3393366b020,         Host Application = C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,         Engine Version = 4.0,         Runspace ID = c8166557-78a4-43a8-843d-dffbe24fa1ab,         Pipeline ID = 58,         Command Name = ,         Command Type = Script,         Script Name = ,         Command Path = ,         Sequence Number = 396,         User = OFFSEC\admmig,         Shell ID = Microsoft.PowerShell, ",,"Command Name: ",Host Application = C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,"Script Name: ","ConnectedUser:         Severity = Informational,         Host Name = ConsoleHost,         Host Version = 4.0,         Host ID = 7f6359d5-da68-4ff5-8b7e-f3393366b020,         Host Application = C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,         Engine Version = 4.0,         Runspace ID = c8166557-78a4-43a8-843d-dffbe24fa1ab,         Pipeline ID = 58,         Command Name = ,         Command Type = Script,         Script Name = ,         Command Path = ,         Sequence Number = 396,         User = OFFSEC\admmig,         Shell ID = Microsoft.PowerShell, ",Host Name: ConsoleHost,"Payload: CommandInvocation(Out-Default): ""Out-Default"", ",,False,EVTX-to-MITRE-Attack\TA0007-Discovery\T1087-Account discovery\ID4103-4104 - SPN discovery (moder nPowerShell).evtx,0x0,0,"{""EventData"":{""Data"":[{""@Name"":""ContextInfo"",""#text"":""        Severity = Informational,         Host Name = ConsoleHost,         Host Version = 4.0,         Host ID = 7f6359d5-da68-4ff5-8b7e-f3393366b020,         Host Application = C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe,         Engine Version = 4.0,         Runspace ID = c8166557-78a4-43a8-843d-dffbe24fa1ab,         Pipeline ID = 58,         Command Name = ,         Command Type = Script,         Script Name = ,         Command Path = ,         Sequence Number = 396,         User = OFFSEC\\admmig,         Shell ID = Microsoft.PowerShell, ""},{""@Name"":""UserData""},{""@Name"":""Payload"",""#text"":""CommandInvocation(Out-Default): \""Out-Default\"", ""}]}}"
7,16020,2021-01-30 09:13:13.3098670,4104,Verbose,Microsoft-Windows-PowerShell,Microsoft-Windows-PowerShell/Operational,3432,3556,fs02.offsec.lan,0,S-1-5-21-4230534742-2542757381-3142984815-1111,Contains contents of scripts run,,,"Path: ",ScriptBlockText: prompt,,,,,,False,EVTX-to-MITRE-Attack\TA0007-Discovery\T1087-Account discovery\ID4103-4104 - SPN discovery (moder nPowerShell).evtx,0x0,0,"{""EventData"":{""Data"":[{""@Name"":""MessageNumber"",""#text"":""1""},{""@Name"":""MessageTotal"",""#text"":""1""},{""@Name"":""ScriptBlockText"",""#text"":""prompt""},{""@Name"":""ScriptBlockId"",""#text"":""3c2f0caa-2737-4e69-9e36-241f3c28d640""}]}}"
8,16021,2021-01-30 09:13:17.5460881,4104,Verbose,Microsoft-Windows-PowerShell,Microsoft-Windows-PowerShell/Operational,3432,3556,fs02.offsec.lan,0,S-1-5-21-4230534742-2542757381-3142984815-1111,Contains contents of scripts run,,,"Path: ",ScriptBlockText: New-Object System.IdentityModel.Tokens.KerberosRequestorSecurityToken -ArgumentList $SPNName,,,,,,False,EVTX-to-MITRE-Attack\TA0007-Discovery\T1087-Account discovery\ID4103-4104 - SPN discovery (moder nPowerShell).evtx,0x0,0,"{""EventData"":{""Data"":[{""@Name"":""MessageNumber"",""#text"":""1""},{""@Name"":""MessageTotal"",""#text"":""1""},{""@Name"":""ScriptBlockText"",""#text"":""New-Object System.IdentityModel.Tokens.KerberosRequestorSecurityToken -ArgumentList $SPNName""},{""@Name"":""ScriptBlockId"",""#text"":""f47863ce-7901-4b63-ba9c-378c9da88083""}]}}"
9,16022,2021-01-30 09:13:17.5616951,4100,Warning,Microsoft-Windows-PowerShell,Microsoft-Windows-PowerShell/Operational,3432,3556,fs02.offsec.lan,0,S-1-5-21-4230534742-2542757381-3142984815-1111,Executing pipeline,OFFSEC\admmig,,Severity = Warning,Command Name: New-Object,CommandType: Cmdlet,"Script Name: ",HostApplication: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,Host Name: ConsoleHost,,False,EVTX-to-MITRE-Attack\TA0007-Discovery\T1087-Account discovery\ID4103-4104 - SPN discovery (moder nPowerShell).evtx,0x0,0,"{""EventData"":{""Data"":[{""@Name"":""ContextInfo"",""#text"":""        Severity = Warning,         Host Name = ConsoleHost,         Host Version = 4.0,         Host ID = 7f6359d5-da68-4ff5-8b7e-f3393366b020,         Host Application = C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe,         Engine Version = 4.0,         Runspace ID = c8166557-78a4-43a8-843d-dffbe24fa1ab,         Pipeline ID = 60,         Command Name = New-Object,         Command Type = Cmdlet,         Script Name = ,         Command Path = ,         Sequence Number = 397,         User = OFFSEC\\admmig,         Shell ID = Microsoft.PowerShell, ""},{""@Name"":""UserData""},{""@Name"":""Payload"",""#text"":""Error Message = Exception calling \"".ctor\"" with \""1\"" argument(s): \""The NetworkCredentials provided were unable to create a Kerberos credential, see inner exception for details.\"", Fully Qualified Error ID = ConstructorInvokedThrowException,Microsoft.PowerShell.Commands.NewObjectCommand, ""}]}}"
10,16023,2021-01-30 09:13:17.5616951,4103,Info,Microsoft-Windows-PowerShell,Microsoft-Windows-PowerShell/Operational,3432,3556,fs02.offsec.lan,0,S-1-5-21-4230534742-2542757381-3142984815-1111,Pipeline executed,"        Severity = Informational,         Host Name = ConsoleHost,         Host Version = 4.0,         Host ID = 7f6359d5-da68-4ff5-8b7e-f3393366b020,         Host Application = C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,         Engine Version = 4.0,         Runspace ID = c8166557-78a4-43a8-843d-dffbe24fa1ab,         Pipeline ID = 60,         Command Name = New-Object,         Command Type = Cmdlet,         Script Name = ,         Command Path = ,         Sequence Number = 399,         User = OFFSEC\admmig,         Shell ID = Microsoft.PowerShell, ",,Command Name: New-Object,Host Application = C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,"Script Name: ","ConnectedUser:         Severity = Informational,         Host Name = ConsoleHost,         Host Version = 4.0,         Host ID = 7f6359d5-da68-4ff5-8b7e-f3393366b020,         Host Application = C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,         Engine Version = 4.0,         Runspace ID = c8166557-78a4-43a8-843d-dffbe24fa1ab,         Pipeline ID = 60,         Command Name = New-Object,         Command Type = Cmdlet,         Script Name = ,         Command Path = ,         Sequence Number = 399,         User = OFFSEC\admmig,         Shell ID = Microsoft.PowerShell, ",Host Name: ConsoleHost,"Payload: CommandInvocation(New-Object): ""New-Object"", ParameterBinding(New-Object): name=""ArgumentList""; value=""MSSQLSvc/Svc-SQL-DB01.offsec.lan"", ParameterBinding(New-Object): name=""TypeName""; value=""System.IdentityModel.Tokens.KerberosRequestorSecurityToken"", TerminatingError(New-Object): ""Exception calling "".ctor"" with ""1"" argument(s): ""The NetworkCredentials provided were unable to create a Kerberos credential, see inner exception for details."""", ",,False,EVTX-to-MITRE-Attack\TA0007-Discovery\T1087-Account discovery\ID4103-4104 - SPN discovery (moder nPowerShell).evtx,0x0,0,"{""EventData"":{""Data"":[{""@Name"":""ContextInfo"",""#text"":""        Severity = Informational,         Host Name = ConsoleHost,         Host Version = 4.0,         Host ID = 7f6359d5-da68-4ff5-8b7e-f3393366b020,         Host Application = C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe,         Engine Version = 4.0,         Runspace ID = c8166557-78a4-43a8-843d-dffbe24fa1ab,         Pipeline ID = 60,         Command Name = New-Object,         Command Type = Cmdlet,         Script Name = ,         Command Path = ,         Sequence Number = 399,         User = OFFSEC\\admmig,         Shell ID = Microsoft.PowerShell, ""},{""@Name"":""UserData""},{""@Name"":""Payload"",""#text"":""CommandInvocation(New-Object): \""New-Object\"", ParameterBinding(New-Object): name=\""ArgumentList\""; value=\""MSSQLSvc/Svc-SQL-DB01.offsec.lan\"", ParameterBinding(New-Object): name=\""TypeName\""; value=\""System.IdentityModel.Tokens.KerberosRequestorSecurityToken\"", TerminatingError(New-Object): \""Exception calling \"".ctor\"" with \""1\"" argument(s): \""The NetworkCredentials provided were unable to create a Kerberos credential, see inner exception for details.\""\"", ""}]}}"
11,16024,2021-01-30 09:13:17.6710596,4103,Info,Microsoft-Windows-PowerShell,Microsoft-Windows-PowerShell/Operational,3432,3184,fs02.offsec.lan,0,S-1-5-21-4230534742-2542757381-3142984815-1111,Pipeline executed,"        Severity = Informational,         Host Name = Default Host,         Host Version = 4.0,         Host ID = be63031a-47ad-452d-836b-10da34712494,         Host Application = C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,         Engine Version = 4.0,         Runspace ID = 087544e4-6858-46d4-be10-88650118e46b,         Pipeline ID = 1,         Command Name = Set-StrictMode,         Command Type = Cmdlet,         Script Name = ,         Command Path = ,         Sequence Number = 415,         User = OFFSEC\admmig,         Shell ID = Microsoft.PowerShell, ",,Command Name: Set-StrictMode,Host Application = C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,"Script Name: ","ConnectedUser:         Severity = Informational,         Host Name = Default Host,         Host Version = 4.0,         Host ID = be63031a-47ad-452d-836b-10da34712494,         Host Application = C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,         Engine Version = 4.0,         Runspace ID = 087544e4-6858-46d4-be10-88650118e46b,         Pipeline ID = 1,         Command Name = Set-StrictMode,         Command Type = Cmdlet,         Script Name = ,         Command Path = ,         Sequence Number = 415,         User = OFFSEC\admmig,         Shell ID = Microsoft.PowerShell, ",Host Name: Default Host,"Payload: CommandInvocation(Set-StrictMode): ""Set-StrictMode"", ParameterBinding(Set-StrictMode): name=""Version""; value=""1.0"", ",,False,EVTX-to-MITRE-Attack\TA0007-Discovery\T1087-Account discovery\ID4103-4104 - SPN discovery (moder nPowerShell).evtx,0x0,0,"{""EventData"":{""Data"":[{""@Name"":""ContextInfo"",""#text"":""        Severity = Informational,         Host Name = Default Host,         Host Version = 4.0,         Host ID = be63031a-47ad-452d-836b-10da34712494,         Host Application = C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe,         Engine Version = 4.0,         Runspace ID = 087544e4-6858-46d4-be10-88650118e46b,         Pipeline ID = 1,         Command Name = Set-StrictMode,         Command Type = Cmdlet,         Script Name = ,         Command Path = ,         Sequence Number = 415,         User = OFFSEC\\admmig,         Shell ID = Microsoft.PowerShell, ""},{""@Name"":""UserData""},{""@Name"":""Payload"",""#text"":""CommandInvocation(Set-StrictMode): \""Set-StrictMode\"", ParameterBinding(Set-StrictMode): name=\""Version\""; value=\""1.0\"", ""}]}}"
12,16025,2021-01-30 09:13:17.6710596,4103,Info,Microsoft-Windows-PowerShell,Microsoft-Windows-PowerShell/Operational,3432,3184,fs02.offsec.lan,0,S-1-5-21-4230534742-2542757381-3142984815-1111,Pipeline executed,"        Severity = Informational,         Host Name = Default Host,         Host Version = 4.0,         Host ID = be63031a-47ad-452d-836b-10da34712494,         Host Application = C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,         Engine Version = 4.0,         Runspace ID = 087544e4-6858-46d4-be10-88650118e46b,         Pipeline ID = 1,         Command Name = Set-StrictMode,         Command Type = Cmdlet,         Script Name = ,         Command Path = ,         Sequence Number = 417,         User = OFFSEC\admmig,         Shell ID = Microsoft.PowerShell, ",,Command Name: Set-StrictMode,Host Application = C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,"Script Name: ","ConnectedUser:         Severity = Informational,         Host Name = Default Host,         Host Version = 4.0,         Host ID = be63031a-47ad-452d-836b-10da34712494,         Host Application = C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,         Engine Version = 4.0,         Runspace ID = 087544e4-6858-46d4-be10-88650118e46b,         Pipeline ID = 1,         Command Name = Set-StrictMode,         Command Type = Cmdlet,         Script Name = ,         Command Path = ,         Sequence Number = 417,         User = OFFSEC\admmig,         Shell ID = Microsoft.PowerShell, ",Host Name: Default Host,"Payload: CommandInvocation(Set-StrictMode): ""Set-StrictMode"", ParameterBinding(Set-StrictMode): name=""Version""; value=""1.0"", ",,False,EVTX-to-MITRE-Attack\TA0007-Discovery\T1087-Account discovery\ID4103-4104 - SPN discovery (moder nPowerShell).evtx,0x0,0,"{""EventData"":{""Data"":[{""@Name"":""ContextInfo"",""#text"":""        Severity = Informational,         Host Name = Default Host,         Host Version = 4.0,         Host ID = be63031a-47ad-452d-836b-10da34712494,         Host Application = C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe,         Engine Version = 4.0,         Runspace ID = 087544e4-6858-46d4-be10-88650118e46b,         Pipeline ID = 1,         Command Name = Set-StrictMode,         Command Type = Cmdlet,         Script Name = ,         Command Path = ,         Sequence Number = 417,         User = OFFSEC\\admmig,         Shell ID = Microsoft.PowerShell, ""},{""@Name"":""UserData""},{""@Name"":""Payload"",""#text"":""CommandInvocation(Set-StrictMode): \""Set-StrictMode\"", ParameterBinding(Set-StrictMode): name=\""Version\""; value=\""1.0\"", ""}]}}"
13,16026,2021-01-30 09:13:17.6710596,4103,Info,Microsoft-Windows-PowerShell,Microsoft-Windows-PowerShell/Operational,3432,3184,fs02.offsec.lan,0,S-1-5-21-4230534742-2542757381-3142984815-1111,Pipeline executed,"        Severity = Informational,         Host Name = Default Host,         Host Version = 4.0,         Host ID = be63031a-47ad-452d-836b-10da34712494,         Host Application = C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,         Engine Version = 4.0,         Runspace ID = 087544e4-6858-46d4-be10-88650118e46b,         Pipeline ID = 1,         Command Name = Set-StrictMode,         Command Type = Cmdlet,         Script Name = ,         Command Path = ,         Sequence Number = 419,         User = OFFSEC\admmig,         Shell ID = Microsoft.PowerShell, ",,Command Name: Set-StrictMode,Host Application = C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,"Script Name: ","ConnectedUser:         Severity = Informational,         Host Name = Default Host,         Host Version = 4.0,         Host ID = be63031a-47ad-452d-836b-10da34712494,         Host Application = C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,         Engine Version = 4.0,         Runspace ID = 087544e4-6858-46d4-be10-88650118e46b,         Pipeline ID = 1,         Command Name = Set-StrictMode,         Command Type = Cmdlet,         Script Name = ,         Command Path = ,         Sequence Number = 419,         User = OFFSEC\admmig,         Shell ID = Microsoft.PowerShell, ",Host Name: Default Host,"Payload: CommandInvocation(Set-StrictMode): ""Set-StrictMode"", ParameterBinding(Set-StrictMode): name=""Version""; value=""1.0"", ",,False,EVTX-to-MITRE-Attack\TA0007-Discovery\T1087-Account discovery\ID4103-4104 - SPN discovery (moder nPowerShell).evtx,0x0,0,"{""EventData"":{""Data"":[{""@Name"":""ContextInfo"",""#text"":""        Severity = Informational,         Host Name = Default Host,         Host Version = 4.0,         Host ID = be63031a-47ad-452d-836b-10da34712494,         Host Application = C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe,         Engine Version = 4.0,         Runspace ID = 087544e4-6858-46d4-be10-88650118e46b,         Pipeline ID = 1,         Command Name = Set-StrictMode,         Command Type = Cmdlet,         Script Name = ,         Command Path = ,         Sequence Number = 419,         User = OFFSEC\\admmig,         Shell ID = Microsoft.PowerShell, ""},{""@Name"":""UserData""},{""@Name"":""Payload"",""#text"":""CommandInvocation(Set-StrictMode): \""Set-StrictMode\"", ParameterBinding(Set-StrictMode): name=\""Version\""; value=\""1.0\"", ""}]}}"
14,16027,2021-01-30 09:13:17.6866853,4103,Info,Microsoft-Windows-PowerShell,Microsoft-Windows-PowerShell/Operational,3432,3184,fs02.offsec.lan,0,S-1-5-21-4230534742-2542757381-3142984815-1111,Pipeline executed,"        Severity = Informational,         Host Name = Default Host,         Host Version = 4.0,         Host ID = be63031a-47ad-452d-836b-10da34712494,         Host Application = C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,         Engine Version = 4.0,         Runspace ID = 087544e4-6858-46d4-be10-88650118e46b,         Pipeline ID = 1,         Command Name = Set-StrictMode,         Command Type = Cmdlet,         Script Name = ,         Command Path = ,         Sequence Number = 421,         User = OFFSEC\admmig,         Shell ID = Microsoft.PowerShell, ",,Command Name: Set-StrictMode,Host Application = C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,"Script Name: ","ConnectedUser:         Severity = Informational,         Host Name = Default Host,         Host Version = 4.0,         Host ID = be63031a-47ad-452d-836b-10da34712494,         Host Application = C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,         Engine Version = 4.0,         Runspace ID = 087544e4-6858-46d4-be10-88650118e46b,         Pipeline ID = 1,         Command Name = Set-StrictMode,         Command Type = Cmdlet,         Script Name = ,         Command Path = ,         Sequence Number = 421,         User = OFFSEC\admmig,         Shell ID = Microsoft.PowerShell, ",Host Name: Default Host,"Payload: CommandInvocation(Set-StrictMode): ""Set-StrictMode"", ParameterBinding(Set-StrictMode): name=""Version""; value=""1.0"", ",,False,EVTX-to-MITRE-Attack\TA0007-Discovery\T1087-Account discovery\ID4103-4104 - SPN discovery (moder nPowerShell).evtx,0x0,0,"{""EventData"":{""Data"":[{""@Name"":""ContextInfo"",""#text"":""        Severity = Informational,         Host Name = Default Host,         Host Version = 4.0,         Host ID = be63031a-47ad-452d-836b-10da34712494,         Host Application = C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe,         Engine Version = 4.0,         Runspace ID = 087544e4-6858-46d4-be10-88650118e46b,         Pipeline ID = 1,         Command Name = Set-StrictMode,         Command Type = Cmdlet,         Script Name = ,         Command Path = ,         Sequence Number = 421,         User = OFFSEC\\admmig,         Shell ID = Microsoft.PowerShell, ""},{""@Name"":""UserData""},{""@Name"":""Payload"",""#text"":""CommandInvocation(Set-StrictMode): \""Set-StrictMode\"", ParameterBinding(Set-StrictMode): name=\""Version\""; value=\""1.0\"", ""}]}}"
